jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.1393E-06	5.0251E-07	-1.3398E-06	1.3165E-06
4.9549E-06	-5.3298E-07	-1.7664E-06	5.1377E-07
3.2750E-06	-2.0377E-06	-1.3278E-06	1.3936E-06
1.9921E-06	-2.8218E-06	-8.1513E-07	9.8815E-07
-1.1701E-07	-2.8781E-06	-6.2157E-07	4.2083E-07
-1.3409E-06	-2.0154E-06	-1.6390E-06	6.4535E-07
-2.0714E-06	-7.9906E-07	-3.4702E-07	1.2119E-06
-1.5716E-06	3.3492E-07	-1.0840E-06	-1.0017E-09
-7.9025E-07	9.4870E-07	-9.4246E-07	1.1141E-06
3.1612E-07	9.7867E-07	-9.6497E-07	2.8953E-07
8.8220E-07	5.1557E-07	-8.8634E-07	1.1646E-06
1.1954E-06	-1.0181E-07	-7.6140E-07	1.8324E-07
9.1316E-07	-6.4710E-07	-1.2153E-06	1.0660E-06
4.8773E-07	-8.6006E-07	-7.4822E-07	6.4914E-07
-1.9049E-07	-8.4406E-07	-6.5739E-07	1.1082E-06
-4.3788E-07	-6.2108E-07	-7.5804E-07	-2.3808E-07
-5.9410E-07	-4.1340E-07	-1.9778E-06	1.5179E-06
-5.4833E-07	-1.7483E-07	1.2888E-07	9.1002E-07
-5.7775E-07	-7.3493E-08	-1.9919E-06	5.5758E-07
-5.4759E-07	5.2818E-08	-3.6642E-07	2.3686E-06
-6.0172E-07	1.4338E-07	1.3543E-08	3.2525E-07
-5.6023E-07	2.6647E-07	-1.2121E-06	1.0829E-06
-5.7623E-07	4.2529E-07	-9.3233E-10	1.4127E-06
-3.5879E-07	5.8477E-07	-2.9994E-07	1.6379E-07
-1.2501E-07	5.7966E-07	-1.2287E-06	8.8171E-07
1.8768E-07	4.0316E-07	-5.7251E-07	1.2816E-06
2.9512E-07	1.4078E-07	-3.9557E-07	1.1636E-06
2.6516E-07	-5.3829E-08	-1.6375E-07	8.1000E-07
6.8304E-08	-1.7937E-07	-4.4355E-07	7.2866E-07
-1.6922E-07	-1.3584E-07	-5.0585E-07	4.0236E-07
-4.1083E-07	7.4873E-08	-1.2335E-06	1.0451E-06
-4.9072E-07	3.3577E-07	1.9383E-08	1.3962E-06
-4.5189E-07	5.9392E-07	-1.5303E-07	1.5660E-07
-2.5523E-07	7.2298E-07	-1.0684E-06	1.6721E-07
3.7137E-08	6.7451E-07	-1.6083E-06	1.0750E-06
2.5897E-07	5.4000E-07	-4.2096E-07	1.7411E-06
3.7534E-07	3.5053E-07	-6.4538E-08	2.8349E-07
3.9488E-07	2.0406E-07	-1.8180E-06	1.6336E-07
3.0011E-07	1.8104E-07	-1.7989E-06	2.0911E-06
2.8135E-07	1.2584E-07	-3.7511E-07	1.8734E-06
2.3176E-07	1.5022E-07	-4.8630E-07	1.4828E-06
3.1506E-07	4.1618E-08	-5.0544E-07	1.0365E-06
3.1684E-07	-5.3985E-08	-1.1073E-06	1.7646E-06
2.5507E-07	-2.1916E-07	2.1019E-08	1.5611E-06
1.0610E-07	-3.4603E-07	-8.3437E-07	1.3932E-06
-4.7637E-08	-3.0062E-07	3.7410E-08	1.5342E-06
-2.4805E-07	-1.7467E-07	-8.8482E-07	1.1337E-06
-2.5897E-07	9.8240E-09	-3.8805E-07	1.5724E-06
-1.7884E-07	1.3132E-07	-1.4074E-06	1.9693E-06
-6.2985E-08	1.7545E-07	1.0169E-06	2.9383E-06
7.8633E-08	1.9158E-07	1.7652E-07	3.9064E-07
2.2430E-07	4.1407E-08	4.4919E-08	2.0225E-06
1.4932E-07	-1.0630E-07	-1.7051E-08	2.2370E-07
3.0114E-08	-2.2594E-07	-1.1555E-06	2.1993E-06
-1.8542E-07	-2.5910E-07	5.4683E-07	1.8826E-06
-3.1897E-07	-2.3457E-07	3.5137E-07	1.5653E-06
-3.8536E-07	-8.3369E-08	1.9014E-07	8.5920E-07
-3.3821E-07	1.8754E-07	-2.2528E-07	1.8123E-06
-2.2052E-07	3.1822E-07	6.0502E-07	1.3147E-06
1.5705E-08	3.0871E-07	4.8001E-07	1.3805E-06
1.4917E-07	1.4943E-07	5.1021E-07	3.0514E-07
1.9841E-07	1.6405E-08	-3.7959E-07	1.1300E-06
8.6860E-08	-8.9802E-08	2.5279E-07	3.6123E-07
-8.6242E-10	-1.2394E-07	-1.3386E-06	1.1460E-06
-1.5254E-07	-8.7438E-08	3.3208E-08	1.8343E-06
-2.5900E-07	4.5288E-08	-6.5535E-08	1.5536E-06
-2.5126E-07	1.3927E-07	6.3496E-07	9.8621E-07
-1.6838E-07	2.3068E-07	-7.9053E-07	8.6847E-07
-1.0510E-07	1.5705E-07	1.5376E-07	1.8254E-06
-3.3304E-08	9.3399E-08	1.1195E-08	9.3199E-07
-2.7762E-08	4.7281E-08	-7.5013E-08	1.2315E-06
-5.5971E-08	6.6010E-08	-6.1337E-07	1.0250E-06
-1.4573E-07	5.8498E-08	-5.6169E-07	2.3308E-06
-1.4191E-07	9.4389E-08	1.0507E-06	2.2592E-06
-1.4203E-07	2.1600E-07	1.1655E-06	5.3520E-07
-5.3570E-08	2.3161E-07	-2.7785E-07	6.5492E-07
6.4509E-08	1.9183E-07	3.4972E-07	1.0290E-06
