jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.6619E-06	5.2333E-07	-2.8697E-06	1.5950E-06
6.3964E-06	-7.4222E-07	-1.4581E-06	1.9786E-07
4.3688E-06	-2.7154E-06	-2.7776E-06	2.2365E-07
2.6179E-06	-3.5567E-06	-2.2260E-06	1.2730E-06
3.4578E-08	-3.6755E-06	-1.0087E-06	1.3135E-06
-1.6445E-06	-2.4983E-06	-6.7607E-07	-3.8176E-07
-2.6017E-06	-1.1062E-06	-2.2884E-06	-2.9458E-07
-1.9746E-06	4.4432E-07	-2.0366E-06	4.2109E-07
-9.5276E-07	1.1815E-06	-2.2967E-06	5.5256E-07
5.2750E-07	1.2476E-06	-2.1454E-06	1.3252E-06
1.2675E-06	6.0280E-07	-1.0249E-06	1.8819E-06
1.6206E-06	-1.4865E-07	4.5064E-08	2.9321E-07
1.2140E-06	-8.0841E-07	-1.6928E-06	-3.5929E-07
6.5822E-07	-1.1001E-06	-1.5272E-06	7.1685E-07
-1.4860E-07	-1.1201E-06	-1.5700E-06	2.4210E-07
-5.2781E-07	-8.2974E-07	-1.7348E-06	9.6763E-07
-7.7256E-07	-5.2819E-07	-1.1609E-06	7.7106E-07
-7.1474E-07	-2.3158E-07	-1.3074E-06	7.1871E-07
-7.2324E-07	-6.8315E-08	-1.1517E-06	4.1843E-07
-6.3023E-07	5.1733E-08	-1.9135E-06	5.0909E-07
-7.2214E-07	2.0163E-07	-1.5109E-06	1.3513E-06
-6.3061E-07	4.3742E-07	-1.0234E-06	8.4647E-07
-6.5857E-07	5.6122E-07	-1.5438E-06	9.2795E-07
-3.7255E-07	6.9894E-07	-8.2530E-07	1.4004E-06
-8.4443E-08	6.3440E-07	-8.2824E-07	1.6355E-07
2.7175E-07	5.0078E-07	-1.9154E-06	1.0721E-06
3.4038E-07	2.0672E-07	-6.1600E-07	1.0583E-06
3.2460E-07	-7.9678E-08	-1.6896E-06	6.6046E-07
3.8880E-08	-1.8746E-07	-8.0315E-07	1.2552E-06
-2.3942E-07	-1.3571E-07	-2.0218E-06	4.9288E-07
-5.1787E-07	9.0452E-08	-1.0966E-06	2.7348E-06
-6.4078E-07	4.2939E-07	5.9922E-08	4.9272E-07
-5.6206E-07	6.9241E-07	-1.6674E-06	1.2498E-06
-2.9329E-07	8.7091E-07	-1.7597E-07	1.4477E-06
-2.3295E-08	8.4448E-07	-9.0486E-07	5.7464E-07
3.1177E-07	7.2724E-07	-1.0006E-06	1.3156E-06
4.0729E-07	4.5724E-07	-5.2300E-07	1.0123E-06
4.3789E-07	3.4097E-07	-1.1227E-06	8.9044E-07
3.6187E-07	2.0881E-07	-7.1313E-07	1.6191E-06
3.6558E-07	2.1028E-07	-2.9375E-07	9.9886E-07
3.4028E-07	1.8666E-07	-3.7958E-07	9.4680E-07
3.9796E-07	6.5515E-08	-4.8406E-07	4.2658E-07
3.6298E-07	-6.6047E-08	-7.4482E-07	5.5520E-07
3.3412E-07	-2.8570E-07	-1.2581E-06	9.5736E-09
1.2795E-07	-3.8488E-07	-2.0267E-06	1.2935E-06
-1.1719E-07	-3.7581E-07	-9.2946E-07	1.4648E-06
-3.7004E-07	-1.9004E-07	-1.3362E-06	1.4323E-06
-3.8830E-07	4.3970E-08	-5.5802E-07	1.8434E-06
-2.9606E-07	2.2841E-07	-4.3258E-07	1.0612E-06
-6.8572E-08	3.6251E-07	-8.4778E-07	1.1232E-06
1.2111E-07	2.9988E-07	-7.6117E-07	1.1912E-06
3.0972E-07	1.4371E-07	-1.0277E-06	1.2401E-06
2.5682E-07	-6.4365E-08	-7.4486E-07	1.6788E-06
1.0436E-07	-2.7883E-07	-5.2775E-07	1.3104E-06
-2.1923E-07	-3.8430E-07	-7.7023E-07	1.4624E-06
-4.5635E-07	-2.4847E-07	-5.3337E-07	1.6725E-06
-6.0958E-07	-3.4762E-08	-2.0873E-07	1.6138E-06
