jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.5388E-06	2.4914E-07	-1.2380E-06	5.4168E-07
2.5543E-06	-8.3502E-07	-4.5380E-07	2.0622E-06
1.8762E-06	-1.7973E-06	1.0573E-06	2.6378E-06
9.7369E-07	-2.3333E-06	2.6048E-06	1.2359E-06
-9.1103E-09	-2.1620E-06	1.7159E-06	6.1900E-08
-7.8846E-07	-1.5397E-06	1.3669E-06	-4.0956E-08
-9.5290E-07	-8.0545E-07	8.0103E-07	1.6267E-09
-8.6630E-07	-2.1087E-07	4.5235E-07	-1.0962E-07
-3.4265E-07	9.6605E-08	-4.8430E-07	1.3854E-06
7.6716E-08	-3.7577E-08	2.0493E-06	2.2769E-06
2.9938E-07	-3.3818E-07	2.5575E-06	-1.9490E-07
2.5545E-07	-5.9376E-07	7.2175E-07	-7.5986E-07
-4.5788E-08	-7.8781E-07	2.2303E-07	7.1277E-07
-4.7379E-07	-7.5405E-07	1.2341E-06	3.2650E-07
-6.9132E-07	-5.5113E-07	-8.4357E-08	3.4762E-07
-6.5629E-07	-1.4858E-07	7.2702E-07	1.6076E-06
-5.4929E-07	-5.1349E-08	1.4054E-06	1.0772E-06
-2.7610E-07	6.5280E-08	1.5487E-06	5.1893E-07
-1.7554E-07	-6.0354E-08	9.2656E-07	2.9176E-07
-1.4677E-07	-1.3093E-07	9.0096E-07	4.0958E-07
-4.0313E-07	-1.7931E-07	3.4759E-07	5.0281E-07
-4.5657E-07	-2.4993E-07	2.1620E-07	1.1022E-06
-6.5441E-07	5.5937E-09	5.6108E-07	2.2192E-06
-5.6103E-07	2.3124E-07	2.5424E-06	1.8022E-06
-4.5584E-07	4.4158E-07	2.1480E-06	-2.8474E-07
-2.0889E-07	4.5235E-07	-2.8294E-07	-3.8487E-07
4.0042E-08	4.0558E-07	-3.6555E-07	3.1494E-06
1.3294E-07	1.8269E-07	3.2068E-06	2.0321E-06
-1.5482E-08	-1.5999E-09	1.2089E-06	9.3640E-07
-1.8580E-07	1.1419E-08	3.0105E-06	1.8721E-06
-4.2461E-07	7.1705E-08	2.0993E-06	-1.1698E-07
-4.4509E-07	3.0230E-07	2.1228E-06	1.1470E-06
-3.9880E-07	5.2004E-07	2.5468E-06	1.9419E-08
-1.0354E-07	6.9175E-07	1.9049E-06	-4.4133E-07
8.1004E-08	6.6439E-07	5.7339E-07	2.7009E-07
2.5574E-07	6.1871E-07	2.4170E-06	1.3770E-06
3.4928E-07	4.0069E-07	2.3294E-06	-5.6914E-07
4.2724E-07	2.1068E-07	1.8732E-06	-5.9263E-07
3.0024E-07	1.4174E-07	3.4052E-07	-9.8463E-07
2.4992E-07	6.8678E-08	6.6530E-07	7.1085E-07
2.5288E-07	6.4225E-08	4.8155E-07	1.8240E-07
3.5312E-07	6.4996E-08	1.1483E-06	1.1834E-06
3.4451E-07	-2.7037E-08	1.7467E-07	4.4755E-07
3.8042E-07	-1.8091E-07	1.8764E-06	3.1904E-06
3.6944E-07	-2.8233E-07	3.2031E-06	-2.7793E-07
2.3142E-07	-3.5185E-07	1.7746E-06	8.9067E-07
8.3154E-08	-3.6808E-07	2.6994E-06	-1.2201E-06
-3.2360E-08	-2.5709E-07	6.0876E-08	1.0997E-07
-3.4961E-08	-1.3011E-07	1.7202E-06	4.2610E-07
4.9110E-09	-6.4022E-08	9.2882E-07	1.0671E-06
8.7945E-08	-1.8831E-08	3.2681E-06	5.7034E-07
1.2894E-07	-4.5978E-08	2.1160E-06	-1.3172E-06
1.4468E-07	-1.7630E-07	6.9263E-07	-1.6038E-06
4.5995E-09	-3.0747E-07	-5.0540E-07	6.5315E-07
-1.2085E-07	-2.5166E-07	1.8353E-06	3.3992E-07
-2.4511E-07	-1.7495E-07	-2.0030E-07	1.8338E-07
-1.8922E-07	-5.6173E-08	1.8998E-06	1.7039E-06
-1.7624E-07	1.3071E-07	2.1523E-06	-7.3416E-08
-4.2210E-08	1.1758E-07	2.2476E-06	-1.0298E-06
1.5282E-07	4.2681E-08	-6.4579E-07	-1.6856E-06
1.7304E-07	-1.3242E-07	-2.3520E-07	1.4299E-06
7.5991E-08	-2.8002E-07	9.5810E-07	2.6347E-07
4.9181E-08	-3.4874E-07	-1.0003E-07	7.8580E-07
-1.7189E-07	-2.8645E-07	7.4958E-07	2.0863E-06
-2.2823E-07	-1.8699E-07	2.7081E-06	1.1804E-06
-3.0546E-07	-3.0913E-08	1.4948E-06	-3.7289E-07
-3.9715E-07	1.0148E-07	1.5399E-06	2.8424E-07
-2.5194E-07	1.4074E-07	6.2836E-07	-6.5858E-07
-1.7859E-07	1.6468E-07	3.4122E-07	1.0311E-06
-9.1987E-08	1.9955E-07	1.1614E-06	7.3056E-07
-8.6923E-08	5.5159E-08	1.6029E-06	6.7607E-07
-3.7161E-08	1.1213E-07	6.7751E-07	-5.6723E-07
-3.3261E-08	1.0856E-07	9.9805E-08	1.5895E-06
-1.8296E-09	1.6545E-07	1.9210E-06	8.8778E-07
1.2562E-08	1.7464E-07	8.9176E-07	3.7693E-07
1.1380E-07	1.5392E-07	8.3604E-07	1.3543E-06
1.0517E-07	1.4262E-07	2.7930E-06	1.5753E-06
1.6566E-07	2.7109E-08	2.1586E-06	-1.4215E-06
3.1076E-08	-5.9092E-08	4.1244E-07	6.8654E-07
-3.0116E-08	2.8304E-08	2.3051E-06	-6.6382E-07
-2.3884E-08	1.4715E-07	-5.2258E-07	-3.7982E-07
-8.6227E-08	9.9519E-08	1.1153E-06	6.3133E-07
-5.8901E-08	2.3883E-07	-3.7293E-07	2.5502E-07
1.4338E-07	2.7821E-07	1.1770E-06	1.7895E-06
2.3606E-07	2.4019E-07	8.4800E-07	4.0687E-07
2.9820E-07	5.3956E-09	1.3648E-06	1.7125E-06
3.3788E-07	-1.3527E-07	1.8534E-06	8.6692E-08
2.6619E-07	-2.5369E-07	8.3601E-07	6.5613E-07
4.3808E-08	-2.7336E-07	1.5184E-06	7.8474E-07
-2.7755E-08	-2.1751E-07	1.7608E-06	4.2688E-07
-1.0665E-07	-1.0806E-07	1.3699E-06	-5.6281E-07
