jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
4.3530E-06	1.8635E-06	1.0788E-06	8.3544E-07
4.9807E-06	-5.6825E-07	1.3744E-06	1.3203E-06
4.0453E-06	-2.8803E-06	1.5470E-06	2.3993E-06
1.9159E-06	-4.1748E-06	2.3924E-06	1.0624E-06
-8.6359E-08	-4.0960E-06	1.1135E-06	1.7022E-06
-1.7739E-06	-3.0222E-06	2.0548E-06	1.9012E-06
-2.4054E-06	-1.3378E-06	2.4684E-06	1.6558E-06
-2.0166E-06	1.2049E-07	1.8115E-06	1.7965E-07
-1.0467E-06	8.8433E-07	8.3830E-07	1.9121E-06
1.3108E-07	8.0094E-07	2.2659E-06	1.3467E-06
6.9367E-07	2.9213E-07	1.8312E-06	7.6600E-07
8.3901E-07	-4.3904E-07	2.2281E-07	-2.5972E-07
4.5360E-07	-9.8358E-07	-6.1574E-07	3.1861E-06
-9.7442E-08	-1.1867E-06	2.1824E-06	2.0357E-06
-6.2650E-07	-1.0182E-06	1.6920E-07	1.9972E-06
-7.9085E-07	-6.3388E-07	1.3595E-06	2.9955E-06
-8.3656E-07	-2.5240E-07	1.6738E-06	2.8894E-06
-5.4237E-07	-1.4607E-07	2.2966E-06	2.4653E-06
-5.3061E-07	-2.4970E-07	2.8527E-06	1.6862E-06
-5.3095E-07	-3.1739E-07	1.8918E-06	1.2812E-06
-7.6952E-07	-2.9038E-07	-6.9099E-07	2.6442E-06
-9.9973E-07	-5.2472E-08	2.8269E-06	3.9573E-06
-1.1257E-06	2.1886E-07	2.1797E-06	1.7021E-06
-9.0762E-07	6.3550E-07	1.8382E-06	3.0021E-06
-4.8747E-07	9.5217E-07	3.4696E-06	2.4774E-06
-8.1387E-08	8.0184E-07	2.3030E-06	6.8783E-07
2.5135E-07	5.0857E-07	1.6659E-06	2.4103E-06
