jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1.9601E-06	2.6313E-07	1.0268E-06	-1.8351E-06
1.0989E-06	-1.9075E-07	-7.7884E-07	1.6459E-06
9.0039E-07	-5.0504E-07	2.4790E-06	2.4452E-06
4.9276E-07	-7.1726E-07	2.8525E-06	5.4446E-07
8.0509E-08	-5.8554E-07	2.4698E-06	5.1645E-08
-2.0791E-07	-4.0977E-07	2.1811E-06	-4.8023E-07
-2.7483E-07	-9.9307E-08	1.1123E-06	-1.1486E-06
-1.3247E-07	1.7762E-07	-3.6411E-07	5.6638E-07
6.1035E-08	2.7944E-07	1.5769E-06	1.5064E-06
3.0832E-07	7.3335E-08	1.0241E-06	8.8088E-07
3.4560E-07	-7.2259E-08	3.0424E-06	2.0558E-06
3.3370E-07	-3.5413E-07	3.1813E-06	-2.0580E-06
1.7714E-07	-4.0558E-07	-1.2682E-06	-1.0558E-06
-3.4251E-08	-3.7478E-07	-8.0605E-07	2.9253E-06
-1.0839E-07	-2.7140E-07	3.0862E-06	4.2138E-06
-1.7449E-07	-1.3840E-07	5.5204E-06	8.3999E-07
-1.5234E-07	3.1368E-08	4.3675E-06	-1.6292E-06
-4.1746E-08	1.6539E-07	2.1000E-06	-3.2126E-06
2.2338E-08	4.3935E-08	-6.5845E-08	-1.2477E-06
2.3970E-08	1.9847E-09	7.6011E-07	-9.2211E-07
-4.2318E-08	-1.5576E-07	-4.8752E-07	-2.7028E-07
-1.4880E-07	-7.5591E-08	1.5766E-07	5.1725E-07
-1.9503E-07	-2.5664E-08	-1.5453E-07	1.7173E-06
-2.2724E-07	-6.0219E-08	2.5344E-06	1.9084E-06
-1.4829E-07	1.6243E-07	1.9971E-06	-5.3118E-08
-6.6097E-08	1.8370E-07	1.8990E-06	1.2083E-07
6.7996E-08	1.7655E-07	8.0028E-07	-3.3720E-07
8.9079E-08	1.0552E-07	1.6671E-06	1.1865E-06
6.0949E-08	3.7260E-08	2.1613E-06	-1.2224E-06
-4.4541E-08	2.8807E-08	-4.1424E-07	-5.9296E-07
-1.4708E-07	4.6698E-10	1.4989E-08	8.0909E-07
-1.7925E-07	3.7634E-08	5.6501E-08	1.7010E-06
-1.8406E-07	1.9988E-07	1.9681E-06	2.1918E-06
-9.9133E-08	3.1460E-07	2.0803E-06	6.4392E-07
1.9380E-08	2.9778E-07	1.9420E-06	1.0535E-06
1.0085E-07	2.6719E-07	2.3465E-06	1.2454E-07
1.4127E-07	2.7216E-07	1.5636E-06	5.0695E-08
1.6460E-07	1.1372E-07	1.6536E-06	8.0735E-08
1.3037E-07	1.2617E-07	1.3184E-06	-2.0198E-07
7.1376E-08	1.1092E-07	4.3439E-07	2.8042E-07
4.4362E-08	6.6065E-08	1.5837E-06	1.6084E-06
4.5303E-08	6.7776E-08	2.3780E-06	-3.0870E-07
1.1608E-07	2.0831E-08	6.9559E-07	-1.4961E-07
1.5693E-07	-5.7597E-08	9.8367E-07	6.5308E-07
1.3153E-07	5.0020E-08	1.8423E-06	6.7793E-07
1.2858E-07	-9.5138E-08	1.0199E-06	-1.2206E-06
7.3558E-08	-7.5397E-08	-9.9653E-07	1.3257E-06
-9.1443E-09	-2.5567E-08	1.6441E-06	1.8884E-06
-3.5765E-08	2.7885E-08	1.2800E-06	1.6526E-06
-5.2168E-08	8.1077E-08	3.2626E-06	7.7097E-07
2.1159E-08	1.5284E-07	6.0423E-07	-6.7103E-07
8.7032E-08	1.4843E-08	1.2339E-06	1.6768E-06
9.6883E-08	-3.7290E-08	1.3676E-06	3.8313E-07
8.0768E-09	-1.6856E-07	1.1786E-06	1.9926E-06
1.6978E-08	-2.1371E-07	2.9222E-06	1.3193E-06
-5.7749E-08	-2.0351E-07	2.4732E-06	2.4073E-07
-1.0954E-07	-9.3291E-08	2.1747E-06	5.1876E-07
-1.3544E-07	-1.8630E-09	3.0606E-06	-1.6883E-07
-3.8093E-08	1.2081E-07	1.5268E-06	-1.7899E-06
-3.1044E-08	8.1348E-08	-4.0613E-07	-2.7928E-07
9.6501E-09	9.6594E-08	3.8792E-07	1.6339E-06
-2.0407E-09	4.1042E-08	1.6691E-06	1.5175E-06
7.7500E-09	-3.5767E-08	2.4189E-06	1.8926E-06
-3.0735E-08	-1.5917E-07	4.5665E-06	-5.8335E-07
-7.4232E-08	-1.7818E-07	3.6937E-07	-2.9431E-06
-1.7888E-07	-5.9621E-08	-6.4851E-07	1.0226E-06
-2.2907E-07	6.9422E-08	9.7635E-07	1.1564E-06
-1.5084E-07	1.7909E-07	1.9034E-06	1.6560E-06
-1.4214E-07	1.8388E-07	2.5012E-06	-3.7700E-07
-1.4730E-07	1.7217E-07	1.1054E-06	-8.7116E-08
-1.4033E-07	1.0937E-07	1.0602E-06	-1.0160E-06
-1.6130E-07	1.5421E-07	-1.6889E-06	8.8312E-07
-1.0187E-07	4.9969E-08	1.6846E-06	3.0345E-06
-1.0922E-07	4.4151E-08	1.1165E-06	1.9923E-07
-5.3046E-08	1.1785E-07	3.3137E-07	3.4077E-06
2.8007E-08	1.7226E-07	4.0587E-06	2.5781E-06
7.0961E-08	1.8468E-07	3.2973E-06	4.3607E-07
3.1425E-08	1.0653E-07	3.0055E-06	7.8994E-08
2.3170E-08	4.9776E-08	1.9668E-06	-2.6168E-07
-9.4305E-08	-3.0242E-08	1.9772E-06	5.6213E-07
-1.2351E-07	2.4954E-08	2.4690E-06	6.7265E-08
-1.6916E-07	1.0882E-08	1.3864E-06	-3.9755E-07
-1.3725E-07	7.3487E-08	1.2242E-06	1.5258E-06
-7.3764E-08	1.3590E-07	3.3691E-06	1.0223E-06
-1.7411E-08	1.9428E-07	3.0613E-06	2.5693E-07
6.1172E-08	1.6021E-07	4.6428E-06	-1.0769E-06
1.3490E-07	4.2080E-08	1.9997E-06	-4.3763E-06
1.4879E-07	2.4649E-08	-1.9885E-06	-2.8471E-06
6.5554E-08	3.3472E-09	-3.1194E-06	1.5829E-06
-3.0271E-09	5.1431E-09	1.4352E-06	3.8591E-06
-9.4913E-08	3.2362E-08	2.2175E-06	5.9409E-07
-1.0570E-07	1.4004E-08	1.5446E-06	1.7744E-06
-1.4233E-07	6.5105E-09	2.9529E-06	4.7430E-07
-9.0181E-08	1.4697E-07	1.5111E-06	9.0462E-08
4.3415E-08	1.1904E-07	1.7818E-06	1.0240E-06
9.4521E-08	1.3342E-07	3.2280E-06	5.8895E-07
5.5214E-08	2.9393E-08	2.1213E-06	-2.1247E-06
5.3421E-08	7.3211E-08	-1.1003E-06	2.3537E-07
-3.6931E-08	-8.9769E-08	2.1351E-06	2.7050E-06
-8.5421E-08	3.2610E-08	3.4026E-06	-5.4444E-07
-1.0364E-07	-5.7525E-08	6.5142E-07	-8.5150E-07
-1.1511E-07	3.0238E-08	9.9165E-07	1.1403E-06
-4.2932E-08	3.0978E-08	1.9638E-06	5.3794E-07
-3.8813E-08	8.2514E-10	1.5354E-06	4.1015E-07
-2.8215E-08	4.9262E-08	1.4650E-06	7.1199E-07
-5.4280E-08	7.3809E-08	2.1271E-06	1.2394E-06
-1.1815E-07	-4.2274E-08	2.6747E-06	3.9187E-07
-8.6092E-08	-9.5315E-08	2.9050E-06	3.6244E-07
-1.0309E-07	7.3391E-08	2.8711E-06	-1.7715E-06
-1.2247E-07	5.0919E-08	4.2661E-08	-7.5501E-07
-1.2941E-07	1.0827E-07	1.7438E-06	4.9172E-07
-1.0685E-07	5.8645E-08	7.1867E-07	-2.4164E-07
-4.0505E-08	3.2873E-08	1.8299E-06	1.4171E-06
-8.3026E-08	5.5074E-08	2.4222E-06	-2.8245E-07
-3.2194E-08	4.0273E-08	1.8978E-06	-1.4273E-07
-1.0350E-07	-2.2680E-08	1.3475E-06	-5.9698E-07
-8.8674E-08	2.0502E-08	1.8049E-06	7.7004E-07
-1.0794E-07	5.6113E-08	2.5645E-06	-1.5121E-06
-8.1024E-08	1.1079E-07	-2.1227E-07	-7.6429E-07
-9.6017E-08	1.3338E-07	1.2030E-06	7.1480E-07
-5.6707E-08	8.9459E-08	1.2096E-06	-9.0215E-09
-6.6847E-08	1.1239E-07	1.5333E-06	3.4731E-07
-5.5813E-09	1.2530E-07	1.4640E-06	-6.5075E-07
-4.5795E-08	4.2362E-08	-1.1646E-07	-1.0198E-07
-3.9846E-08	-8.6022E-08	8.4046E-07	2.1305E-06
-4.1388E-08	3.3795E-08	3.2730E-06	9.4848E-07
-6.1082E-08	-8.2231E-08	2.4492E-06	-1.0155E-06
-8.7169E-08	-6.6807E-08	1.0675E-06	-8.3360E-07
-9.9827E-08	-5.3877E-08	1.4542E-06	1.2614E-07
-1.4160E-07	4.7173E-08	1.6423E-06	-1.5365E-06
-4.9417E-08	1.2000E-07	-8.6268E-07	-5.2297E-07
-4.7212E-08	1.4222E-07	7.1476E-07	1.1748E-06
-6.3254E-08	1.4918E-07	1.0006E-06	4.5324E-07
-5.7106E-08	9.7955E-08	1.6912E-06	2.6180E-07
8.6874E-09	9.5867E-08	2.7880E-07	-1.0332E-06
-3.1781E-09	-1.3011E-08	-8.4440E-07	1.0224E-06
1.3334E-10	8.6123E-08	1.7130E-07	2.1967E-06
3.9784E-09	-5.3316E-09	1.6981E-06	2.9298E-06
-4.0008E-08	-6.5783E-08	3.3460E-06	1.6830E-06
1.6753E-08	8.7860E-08	3.2028E-06	4.1863E-07
-6.6364E-08	3.8940E-08	3.1175E-06	-2.8401E-07
-6.4894E-08	9.1282E-08	2.6299E-06	-1.4239E-06
-5.5695E-09	8.8970E-08	9.9359E-07	-1.7133E-06
-2.6605E-08	8.0163E-08	1.8867E-07	-7.1940E-07
-1.1313E-07	-6.1916E-08	2.3014E-08	2.8489E-07
-1.0120E-07	-4.7726E-08	1.1466E-06	8.6350E-07
-9.2166E-08	-3.5716E-08	9.9864E-07	-9.5881E-09
-5.9938E-08	-2.8918E-09	1.0820E-06	9.9073E-07
-6.5349E-08	6.1287E-09	2.0551E-06	-2.3010E-07
-4.5879E-08	1.0424E-07	5.0844E-07	-6.2223E-07
-1.2845E-07	1.1866E-07	3.2157E-07	2.3324E-07
-1.6011E-07	1.8156E-08	2.7279E-07	5.7969E-07
-8.8237E-08	7.1083E-08	2.7399E-07	1.0437E-06
-1.2327E-07	1.1878E-08	8.1026E-07	2.0985E-06
-1.1200E-07	1.9921E-08	2.6384E-06	1.4674E-06
-6.0447E-08	-1.0646E-08	2.1366E-06	9.2012E-09
-6.7269E-08	4.8811E-08	1.6947E-06	-3.0171E-07
-6.6749E-08	4.2771E-08	2.3942E-07	-3.5019E-07
-5.0571E-08	1.5277E-07	5.2486E-07	1.5225E-06
