jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.4015E-06	-5.6538E-07	1.3057E-06	3.1645E-07
3.2906E-06	-1.5211E-06	-1.5116E-06	6.1412E-07
1.9947E-06	-2.2604E-06	-1.3240E-06	1.6013E-06
8.6350E-07	-2.4532E-06	-8.4675E-07	-1.5133E-07
-5.0671E-07	-2.0425E-06	-1.7185E-06	1.1661E-06
-1.1189E-06	-1.2291E-06	-5.3800E-07	-4.7366E-07
-1.3605E-06	-3.4286E-07	5.0803E-07	6.6843E-07
-8.4519E-07	3.3317E-07	3.2021E-08	-1.9816E-08
-2.8200E-07	5.2882E-07	-5.3395E-07	1.5194E-06
4.3262E-07	4.0297E-07	-1.0612E-06	2.0083E-06
7.6557E-07	4.9207E-08	3.5784E-07	-8.6119E-07
8.5600E-07	-3.8095E-07	-1.3907E-06	-3.6433E-07
5.5712E-07	-6.9384E-07	9.3512E-07	-3.6699E-07
1.8380E-07	-7.9125E-07	5.0785E-07	1.7976E-06
-1.7755E-07	-5.9793E-07	-1.4834E-06	-1.0323E-06
-3.3704E-07	-4.0335E-07	1.6017E-07	-9.8051E-07
-3.4355E-07	-1.6669E-07	8.6316E-07	5.5123E-07
-1.9532E-07	-1.0775E-07	6.5172E-07	1.8280E-06
-2.0652E-07	-7.3588E-08	-2.1668E-08	2.6603E-06
-1.2997E-07	-9.5071E-08	-1.4023E-07	-6.0530E-07
-2.6033E-07	-3.1063E-09	-8.9487E-08	3.1379E-07
-2.7643E-07	8.2371E-08	4.4649E-07	-8.4073E-08
-3.6546E-07	1.7532E-07	-8.8090E-08	1.7950E-06
-2.1040E-07	3.6404E-07	5.5333E-07	1.6899E-06
-2.0777E-08	3.2346E-07	-7.6979E-07	1.0968E-06
1.6467E-07	2.9418E-07	-3.8048E-07	-4.3493E-07
2.8659E-07	1.4577E-07	-2.6600E-07	8.1264E-07
3.3046E-07	-5.7690E-08	1.4947E-06	7.3392E-07
1.4750E-07	-2.1024E-07	-4.8964E-07	1.4340E-06
-2.3029E-08	-1.2749E-07	-3.6336E-07	-8.0809E-07
-1.9705E-07	-1.1659E-08	1.6793E-06	-5.8585E-07
-1.9096E-07	1.7977E-07	1.4170E-06	7.1222E-07
-1.7841E-07	3.9923E-07	8.3861E-07	3.2458E-07
7.8458E-09	4.6982E-07	5.6244E-07	-1.8491E-07
1.6851E-07	4.3665E-07	3.0652E-07	1.4767E-07
3.6946E-07	3.5548E-07	4.0852E-08	1.2148E-06
4.1374E-07	1.8309E-07	-5.4788E-08	-6.0771E-07
4.1951E-07	6.4426E-08	2.7837E-07	2.1616E-07
2.9475E-07	-2.0968E-08	1.6742E-06	8.1881E-07
3.0368E-07	-3.1018E-08	1.5381E-06	-1.0325E-06
2.3077E-07	8.7146E-09	5.7290E-07	8.2300E-07
1.8613E-07	-1.2916E-08	1.4294E-06	-4.4181E-08
2.2492E-07	-1.0736E-07	2.6215E-07	9.4145E-08
1.9488E-07	-1.5479E-07	-4.3987E-07	1.7355E-06
1.4745E-07	-2.2536E-07	-1.8331E-07	3.7352E-07
8.7194E-08	-2.1897E-07	9.0484E-07	-1.0252E-06
-6.3685E-08	-1.7485E-07	3.0014E-07	8.4624E-07
-6.5093E-08	-9.9608E-08	8.1006E-07	1.1868E-06
-7.8634E-08	-2.0950E-08	6.8366E-07	-4.2435E-07
-9.4701E-09	6.0643E-08	9.2044E-07	4.2565E-07
3.8642E-08	6.5641E-08	-8.8005E-08	1.7036E-06
1.6383E-07	3.2189E-08	3.4492E-07	9.6918E-07
6.6097E-08	-2.9800E-08	-5.6339E-07	-5.0658E-07
4.2750E-08	-1.1094E-07	-1.7553E-07	-7.5590E-07
-8.3089E-08	-8.7192E-08	5.9319E-07	2.7094E-07
-2.0032E-07	-5.0661E-08	8.0828E-07	-9.7781E-07
-1.7921E-07	6.0507E-08	1.6800E-06	9.7221E-07
-1.2551E-07	1.7221E-07	-2.8215E-08	1.4013E-06
-7.1293E-09	1.1640E-07	1.9231E-07	-9.5803E-07
7.7826E-08	1.5664E-07	1.5180E-06	1.8542E-07
8.7584E-08	2.4886E-08	1.4853E-06	-3.6043E-07
1.1196E-07	-5.1933E-08	9.1936E-07	1.4301E-06
-4.2435E-08	-6.4053E-08	2.0171E-06	6.2706E-07
-1.0759E-07	-9.5970E-08	9.0414E-07	5.2903E-07
-1.4565E-07	1.0926E-08	1.7644E-07	-9.2162E-07
-1.8877E-07	1.0626E-07	1.9358E-07	-1.0829E-07
-8.1592E-08	2.0401E-07	1.0746E-06	2.9792E-07
-6.7248E-09	2.3947E-07	-1.9526E-07	1.3163E-07
4.7059E-08	1.9004E-07	-4.0708E-07	1.3992E-06
4.5376E-08	1.0791E-07	1.7034E-06	2.5267E-07
2.9101E-08	4.1714E-08	2.0427E-06	3.5776E-07
-4.4340E-08	1.7549E-08	8.3910E-07	-1.2829E-06
-9.9083E-08	4.4301E-08	8.1517E-07	4.5864E-07
-6.9219E-08	1.2039E-07	1.1028E-07	-7.4234E-07
-8.2057E-08	2.4198E-07	1.3833E-06	1.5378E-08
2.9321E-08	2.5879E-07	7.0455E-07	-4.6262E-07
7.6944E-08	1.9553E-07	-1.3025E-07	8.9204E-07
2.0187E-07	1.3027E-07	-2.8355E-07	-3.9291E-07
1.2107E-07	8.6697E-08	2.8495E-07	9.8556E-07
4.8804E-08	6.1096E-08	5.5858E-07	1.7404E-06
-3.0421E-08	7.7143E-08	1.1785E-07	4.9893E-08
-6.7671E-08	1.2680E-07	7.5026E-07	7.5608E-07
