jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.1336E-06	-4.2093E-07	1.7279E-06	-7.6790E-07
9.4143E-07	-4.0499E-07	6.3739E-07	-9.8063E-07
6.4169E-07	-7.5466E-07	4.1282E-07	3.6682E-08
2.6359E-07	-8.2105E-07	2.1746E-06	9.5766E-07
-2.5804E-07	-7.0417E-07	2.3401E-06	-2.1399E-06
-4.7249E-07	-4.6117E-07	-6.2998E-07	-2.7793E-07
-6.0440E-07	-1.1505E-07	1.8022E-06	9.1891E-07
-4.6992E-07	1.0395E-07	1.9400E-06	3.3117E-07
-2.1044E-07	1.3647E-07	3.2093E-06	-5.5842E-07
5.8200E-08	7.6504E-08	1.5768E-06	-1.6293E-06
1.3511E-07	-9.5649E-08	1.8068E-06	-6.9562E-07
9.3416E-08	-2.9069E-07	1.9276E-06	-1.5956E-06
-3.2486E-08	-4.3445E-07	8.8737E-07	-2.3834E-06
-1.4722E-07	-3.3886E-07	-1.1875E-06	-9.7621E-07
-2.5357E-07	-2.1507E-07	3.0596E-07	1.2992E-06
-3.0279E-07	-1.1459E-07	1.8775E-06	7.5182E-07
-2.3987E-07	-6.8984E-08	2.6326E-06	-5.8035E-07
-2.0471E-07	2.1669E-08	8.5235E-07	-1.8164E-06
-1.1826E-07	8.2374E-08	-8.1486E-08	1.9523E-07
-1.3670E-07	1.2872E-07	1.5063E-06	8.4159E-07
-1.8255E-07	5.4176E-09	2.0709E-06	6.3134E-08
-2.3270E-07	3.1939E-08	2.2186E-06	-3.8219E-07
-2.2301E-07	4.4897E-08	1.8221E-06	-1.2105E-06
-2.2676E-07	5.8677E-08	1.1236E-06	-6.9096E-07
