jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
6.8976E-06	-1.2329E-06	-4.0406E-06	-5.6656E-07
1.0760E-05	-5.3354E-06	-6.3576E-06	9.2344E-07
6.3497E-06	-7.3049E-06	-4.1324E-06	3.6451E-06
2.9310E-06	-8.0751E-06	-2.7075E-06	1.5519E-06
-2.1952E-06	-7.0465E-06	-4.4250E-06	1.7919E-06
-4.9638E-06	-4.3416E-06	-3.4278E-06	3.4194E-06
-6.2662E-06	-1.0360E-06	-2.3382E-06	2.2338E-06
-4.4397E-06	1.7782E-06	-3.4351E-06	2.7143E-06
-2.0078E-06	2.7114E-06	-1.7258E-06	2.8633E-06
7.2437E-07	2.0001E-06	-2.8184E-06	1.9970E-06
1.9215E-06	5.8596E-07	-1.7196E-06	2.6358E-06
2.4301E-06	-9.7274E-07	-3.2965E-06	1.1244E-06
1.4975E-06	-1.9690E-06	-3.3899E-06	3.7630E-06
3.8999E-07	-2.4401E-06	-2.4528E-06	3.2630E-06
-1.0342E-06	-2.2896E-06	-1.4609E-06	4.2300E-06
-1.7416E-06	-1.6002E-06	-1.2122E-06	1.9345E-06
-2.2073E-06	-8.3469E-07	-2.5238E-06	3.6283E-06
-1.8631E-06	-1.6059E-07	-8.4855E-07	3.1509E-06
-1.7244E-06	1.8833E-07	-1.3446E-06	3.3002E-06
-1.3817E-06	4.7585E-07	-3.3079E-07	2.4280E-06
-1.4050E-06	7.0542E-07	-1.6125E-06	2.1440E-06
-1.1992E-06	1.0074E-06	-1.5034E-06	2.4477E-06
-1.0458E-06	1.2344E-06	-1.8769E-06	2.8253E-06
-6.1247E-07	1.2978E-06	-1.8698E-06	2.9689E-06
-1.5272E-07	1.0358E-06	-1.5684E-06	4.7017E-06
3.6299E-07	5.9813E-07	1.1791E-06	3.2398E-06
3.4379E-07	-4.4827E-08	-1.1362E-06	1.7526E-06
2.2231E-07	-5.3783E-07	-3.6893E-07	3.3728E-06
-3.1545E-07	-5.8399E-07	-4.3210E-07	1.5090E-06
-7.1793E-07	-2.1596E-07	-1.8127E-06	2.8016E-06
-1.1066E-06	3.8302E-07	-4.6117E-07	3.1390E-06
-1.0356E-06	1.0917E-06	-8.3050E-07	2.6698E-06
-7.5356E-07	1.5310E-06	-1.2811E-07	3.0694E-06
-9.8000E-08	1.7183E-06	-3.1255E-07	1.6426E-06
4.6538E-07	1.4572E-06	-1.6555E-06	2.4777E-06
9.6483E-07	9.5488E-07	-7.4205E-07	3.3462E-06
9.8006E-07	4.2113E-07	-9.9866E-09	2.9167E-06
8.9992E-07	1.0734E-07	1.5597E-07	1.7733E-06
6.5636E-07	1.1101E-09	-1.7141E-06	1.0216E-06
6.3194E-07	-3.5210E-08	-2.9982E-06	3.8216E-06
5.2772E-07	-2.4136E-08	6.8731E-07	4.9484E-06
6.9209E-07	-1.0833E-07	5.1033E-07	1.2932E-06
5.4124E-07	-3.9450E-07	-1.5382E-06	2.9143E-06
4.8342E-07	-7.0178E-07	2.6873E-08	2.6938E-06
3.3920E-08	-9.0080E-07	-1.1371E-06	2.6947E-06
-3.3443E-07	-8.3746E-07	1.0085E-07	2.6908E-06
