jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.5278E-06	-6.1340E-07	1.8766E-06	5.2974E-07
3.1526E-06	-1.6403E-06	3.5702E-07	-4.0468E-07
1.9103E-06	-2.3381E-06	6.8174E-07	2.4653E-06
8.0507E-07	-2.4919E-06	3.7415E-06	4.4945E-07
-4.7375E-07	-2.0665E-06	6.4471E-07	-1.0881E-06
-1.1555E-06	-1.2712E-06	1.4708E-06	1.7443E-06
-1.4486E-06	-3.9315E-07	2.6393E-06	-4.6472E-07
-1.0138E-06	2.7670E-07	1.1897E-06	3.5256E-07
-4.3627E-07	4.8220E-07	2.6630E-06	-1.3293E-07
2.6623E-07	2.8745E-07	1.4298E-06	-4.8126E-07
4.8657E-07	-1.1407E-07	2.4474E-06	-6.8508E-07
4.5734E-07	-5.0574E-07	4.6515E-07	-1.5898E-06
2.0988E-07	-8.3301E-07	7.6098E-07	3.9877E-08
-1.7150E-07	-7.3407E-07	1.8766E-07	-6.2511E-07
-4.6670E-07	-5.3980E-07	5.2935E-07	1.1208E-06
-5.7195E-07	-2.4788E-07	8.3552E-07	2.2921E-07
-4.4534E-07	-8.7202E-08	1.3814E-06	1.8959E-06
-3.2782E-07	-1.1227E-08	2.5752E-06	-6.9043E-07
-2.4473E-07	1.9850E-08	7.5883E-08	6.6527E-07
-2.5211E-07	-5.1798E-08	2.7202E-06	7.4420E-07
-3.4448E-07	-1.6199E-08	9.1020E-07	-2.7909E-07
-4.8892E-07	1.1036E-07	2.1045E-06	7.7449E-07
-4.8150E-07	2.0306E-07	1.1382E-06	-3.2599E-07
-3.9839E-07	3.3297E-07	1.9819E-06	1.2703E-06
-2.8425E-07	4.0635E-07	2.5282E-06	-6.5821E-07
-2.5789E-08	3.1825E-07	1.3277E-06	-2.4845E-07
1.0319E-07	1.5573E-07	1.8326E-06	-6.9174E-08
9.1996E-08	5.0763E-08	1.7513E-06	-6.6742E-07
-2.3078E-08	4.1465E-08	8.5657E-07	-3.4786E-07
-1.2645E-07	-2.5798E-08	1.8935E-06	-3.5150E-08
-2.5918E-07	2.1634E-07	5.8264E-07	-1.2906E-06
-2.9913E-07	3.4942E-07	2.7977E-07	1.0714E-06
-1.8271E-07	5.1836E-07	2.0523E-06	2.4236E-07
1.0414E-07	5.3647E-07	9.5314E-07	-3.4155E-07
2.3865E-07	4.2491E-07	8.4621E-07	6.8033E-07
3.4687E-07	2.8080E-07	2.2229E-06	6.8953E-07
3.5964E-07	5.1341E-08	1.7459E-06	-8.5312E-07
2.7671E-07	-2.4999E-08	1.1179E-06	-6.6261E-08
1.4493E-07	3.5096E-08	1.1478E-06	-7.1413E-07
9.2942E-08	-1.6685E-08	3.5992E-07	4.8938E-07
1.8225E-07	9.8418E-08	1.9671E-06	1.6962E-07
2.6586E-07	1.1120E-07	4.9874E-07	-8.6540E-07
2.4278E-07	-5.8572E-08	2.6143E-07	1.0096E-06
3.1483E-07	-1.9109E-07	1.8338E-06	4.6711E-07
2.1190E-07	-2.9770E-07	5.2936E-07	-1.6826E-07
3.7499E-08	-3.7820E-07	1.1012E-06	1.2612E-06
-1.3469E-07	-3.3154E-07	1.7775E-06	3.3112E-07
-1.8393E-07	-1.5940E-07	1.8581E-06	3.7684E-08
-2.3112E-07	5.2177E-08	5.3895E-07	-9.8695E-07
-1.3903E-07	1.0895E-07	2.7212E-07	1.4229E-06
-3.0280E-10	3.3214E-08	1.7812E-06	1.7222E-07
7.5957E-08	8.4134E-09	7.2254E-07	8.0146E-07
7.2352E-08	-7.7776E-08	1.7413E-06	-1.4663E-07
1.5177E-08	-1.8639E-07	-1.9750E-07	1.0152E-06
-1.4006E-07	-1.7036E-07	2.9468E-06	1.2186E-06
-2.8753E-07	-1.3488E-07	6.8462E-07	-1.2590E-06
-2.8402E-07	9.9606E-08	3.5917E-07	1.2672E-06
-1.6756E-07	1.8245E-07	9.1819E-07	7.2009E-07
-8.2036E-08	2.2929E-07	1.2914E-06	1.9750E-06
7.8578E-08	1.0905E-07	2.7953E-06	8.2548E-07
1.5245E-07	-1.0103E-07	2.4630E-06	-2.1045E-07
1.0740E-07	-1.5742E-07	1.2980E-06	-1.5657E-06
-2.3436E-08	-2.7539E-07	-8.6773E-07	3.8294E-07
-1.9947E-07	-2.2552E-07	1.6117E-06	1.6367E-06
-3.0217E-07	2.1684E-08	9.8114E-07	-4.7854E-07
-3.3226E-07	1.2238E-07	-1.0030E-07	1.4900E-06
-3.0637E-07	2.3242E-07	1.8610E-06	1.5926E-06
-1.4588E-07	3.4996E-07	1.4796E-06	3.9543E-07
6.7614E-09	3.6629E-07	7.9367E-07	9.3880E-07
6.0129E-08	1.7888E-07	1.4625E-06	1.4932E-06
5.3159E-08	1.1482E-07	1.7122E-06	8.4449E-07
2.3990E-08	1.3084E-08	1.3620E-06	1.1864E-06
-4.2706E-08	2.4542E-08	2.2429E-06	1.3078E-06
-1.1542E-07	8.9218E-08	2.5051E-06	-1.1099E-07
-9.7338E-08	7.5688E-08	3.5440E-07	-4.3409E-07
-3.7412E-08	1.6008E-07	5.2494E-07	2.0420E-06
1.0729E-07	1.8680E-07	2.1655E-06	1.4611E-06
1.0426E-07	1.3903E-07	2.1946E-06	1.1037E-06
1.2047E-07	7.0393E-08	1.9563E-06	9.3764E-08
5.7733E-08	1.6078E-10	1.3693E-06	1.3308E-06
4.9119E-09	7.5743E-08	2.7110E-06	-5.7165E-08
-6.7578E-08	9.8391E-08	-2.7873E-08	3.1864E-07
-4.3003E-08	1.8766E-07	2.0133E-06	2.2500E-06
1.9852E-08	2.1374E-07	2.3329E-06	6.1874E-07
9.1858E-08	1.9398E-07	2.3318E-06	5.4939E-07
1.9733E-07	1.4157E-07	1.3966E-06	5.1118E-08
2.1913E-07	-3.8323E-09	1.8078E-06	9.4909E-07
1.6745E-07	-1.6606E-07	1.3146E-06	1.6206E-07
4.8167E-08	-1.8157E-07	1.5665E-06	1.5768E-06
-4.9540E-08	-1.9361E-07	2.2331E-06	4.3905E-07
-1.8471E-07	-9.5093E-08	1.8317E-06	9.6425E-07
-1.6234E-07	5.8809E-08	2.3884E-06	-6.3811E-08
-9.3965E-08	1.6086E-07	1.0426E-06	-2.0474E-08
4.1575E-08	9.2578E-08	6.8039E-07	7.0285E-07
1.7774E-07	1.5374E-07	1.6998E-06	2.3189E-06
1.9536E-07	4.1653E-08	3.3705E-06	-4.3827E-07
1.6038E-07	-1.2031E-07	-6.1282E-07	-1.4271E-07
1.0862E-07	-1.5458E-07	1.6198E-06	2.7334E-06
6.0289E-10	-1.9108E-07	1.9823E-06	9.5328E-07
-8.2155E-08	-2.1080E-07	2.4941E-06	2.0528E-06
-6.8510E-08	-1.2848E-07	3.2523E-06	6.7736E-08
-1.1786E-07	-1.3010E-07	1.8164E-06	-2.1848E-08
-1.4274E-07	-2.5796E-10	1.6320E-06	1.6022E-07
-1.0770E-07	-3.7943E-08	1.1466E-06	5.0236E-07
-5.9332E-08	-1.0667E-08	1.0018E-06	1.5221E-06
-2.8377E-08	4.0499E-08	2.9939E-06	1.9689E-06
-1.4642E-07	6.4879E-08	2.6489E-06	-5.0042E-07
-1.3385E-07	2.9514E-08	1.1746E-06	9.3478E-07
-8.0848E-08	8.0206E-08	2.6702E-06	8.2695E-07
-6.4699E-08	9.3958E-08	1.9420E-06	4.5983E-08
4.5426E-09	1.2616E-07	1.4483E-06	5.5956E-07
6.7733E-09	5.5329E-09	2.1715E-06	1.1893E-06
5.0229E-08	-3.3252E-08	2.3374E-06	-1.9931E-07
3.1398E-09	-9.6292E-08	1.0405E-06	6.9793E-07
-5.6959E-08	-8.5419E-09	2.4481E-06	8.6693E-07
-1.3766E-07	-4.1161E-08	1.5552E-06	-1.0234E-07
-1.3473E-07	-3.4840E-08	1.1805E-06	1.1590E-06
-1.0116E-07	1.2875E-07	2.6923E-06	1.1614E-06
-2.6914E-08	1.5322E-07	2.0214E-06	-8.5685E-07
2.7174E-08	1.3719E-07	-2.1634E-07	8.3629E-07
5.5324E-08	1.0983E-07	2.0114E-06	2.6043E-06
1.1814E-07	1.9394E-08	2.9360E-06	6.9909E-07
6.2125E-08	4.8578E-08	1.6074E-06	7.0771E-07
2.5730E-08	-4.4325E-08	2.6068E-06	1.6315E-06
-3.6879E-08	-6.4208E-08	3.0941E-06	9.1794E-09
3.1484E-08	-2.5756E-08	1.7186E-06	-6.5555E-08
-1.6540E-08	3.8056E-09	1.6417E-06	6.2412E-07
-2.8453E-08	4.9898E-08	2.0368E-06	8.8202E-07
3.4914E-08	1.3217E-07	2.0671E-06	5.9577E-07
1.6497E-08	4.2122E-08	2.4217E-06	8.5815E-07
-2.1167E-09	1.6335E-08	2.2282E-06	-1.6950E-07
-6.1519E-09	5.3449E-08	1.5887E-06	8.1789E-07
2.2381E-09	1.7257E-09	2.6094E-06	5.6327E-07
