jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.2880E-06	-1.3014E-07	-1.2775E-06	5.2166E-07
1.8464E-06	-5.7847E-07	1.2208E-07	9.3689E-07
1.1718E-06	-9.7460E-07	-1.2598E-08	6.0252E-07
6.5182E-07	-1.2261E-06	3.9052E-07	7.6845E-07
-1.8860E-08	-1.0957E-06	1.7906E-07	6.4226E-07
-4.6539E-07	-7.7180E-07	4.0409E-07	9.4783E-07
-7.5954E-07	-3.1809E-07	6.8350E-07	1.2411E-06
-5.6777E-07	1.0095E-07	1.6073E-06	5.3474E-07
-2.6968E-07	2.2120E-07	4.4776E-07	1.8170E-08
1.4812E-07	7.0358E-08	8.6634E-07	7.4621E-07
2.5901E-07	-1.4918E-07	5.2095E-07	2.1117E-07
3.0463E-07	-3.6568E-07	6.7069E-07	1.1853E-06
1.6582E-07	-3.9919E-07	1.6428E-06	6.8282E-07
5.7235E-09	-4.1770E-07	1.3563E-06	-3.6095E-07
-2.5325E-07	-3.0491E-07	1.7515E-07	-9.1401E-08
-2.9157E-07	-1.4809E-07	7.2026E-07	5.7013E-07
-2.7916E-07	-7.9805E-08	4.3004E-07	1.5147E-07
-1.7024E-07	-3.8533E-09	4.8131E-07	6.3854E-07
-1.6723E-07	-1.8520E-08	2.2070E-07	5.8113E-07
-1.4385E-07	-6.1077E-08	5.0690E-07	1.3281E-06
-2.4316E-07	-9.6378E-08	8.7135E-07	1.3723E-06
-2.7992E-07	-4.3224E-08	1.8948E-06	1.4425E-06
-3.1179E-07	4.6612E-08	1.9144E-06	9.7753E-08
-3.0225E-07	1.2879E-07	1.3157E-06	-2.6717E-08
-1.8751E-07	1.7786E-07	6.3673E-07	-8.2935E-08
-6.7460E-08	1.5811E-07	6.2401E-07	7.8215E-07
-1.9045E-08	6.6707E-08	1.0648E-06	9.5365E-07
4.1712E-08	2.0974E-08	1.9735E-06	4.2529E-07
-2.5442E-08	-4.7000E-08	4.1284E-07	-5.6623E-07
-8.1958E-08	3.0165E-09	6.3575E-07	1.5211E-06
-2.0250E-07	5.2239E-08	1.6779E-06	2.2040E-07
-2.0977E-07	1.7656E-07	6.8078E-07	6.0247E-07
-1.6801E-07	2.6869E-07	1.4325E-06	9.5314E-07
-2.2129E-08	2.8326E-07	2.1287E-06	2.4361E-07
4.0616E-08	1.9294E-07	8.2592E-07	-9.0391E-07
1.5063E-07	1.9555E-07	5.5355E-07	5.9260E-07
1.3812E-07	9.4804E-08	4.0377E-07	-4.0365E-07
1.2435E-07	2.6194E-08	-2.8187E-07	1.9774E-06
8.9122E-08	3.8269E-08	2.3358E-06	1.1850E-06
6.3430E-08	6.3298E-08	1.0946E-06	2.4627E-07
3.4404E-08	6.7328E-08	1.1801E-06	5.8792E-07
1.2705E-07	7.7603E-08	1.1685E-06	1.1264E-06
1.4509E-07	-5.4878E-09	2.2497E-06	2.4358E-07
2.0283E-07	-1.0514E-07	8.0509E-07	-9.0047E-08
1.7505E-07	-1.8581E-07	1.4411E-06	5.6849E-07
1.0731E-07	-2.3015E-07	1.0773E-06	-1.1476E-07
-5.7456E-08	-1.9102E-07	8.5850E-07	3.2004E-07
-1.1785E-07	-9.7274E-08	6.9950E-07	1.0556E-07
-1.5098E-07	-1.8048E-08	-1.6723E-07	1.0312E-06
-4.0684E-08	4.2236E-08	1.8299E-06	2.4028E-06
-3.3977E-08	8.3855E-08	2.3219E-06	-4.3993E-07
3.3087E-08	3.9805E-08	1.7998E-07	1.1771E-06
5.3895E-08	-6.4699E-09	3.0106E-06	1.2142E-06
3.2832E-08	-1.0763E-07	1.7123E-06	-7.8773E-07
-4.7065E-08	-1.5677E-07	1.0022E-06	-2.2744E-07
-1.1382E-07	-1.2327E-07	1.4569E-07	5.0005E-07
-1.7536E-07	-4.3828E-08	1.6139E-06	1.6645E-06
-1.4278E-07	2.9865E-08	2.2739E-06	1.3977E-07
-1.6073E-07	7.4996E-08	1.1159E-06	-2.9054E-07
-1.3003E-08	1.0189E-07	9.6453E-07	1.1063E-06
4.8357E-08	2.2901E-09	2.8395E-06	1.1093E-07
8.9553E-08	-7.4289E-08	4.9191E-07	-1.4340E-06
1.3049E-08	-1.0952E-07	-2.6596E-07	1.1861E-06
-5.3614E-08	-1.4513E-07	1.7663E-06	1.9085E-06
-1.5650E-07	-6.4707E-08	3.1061E-06	9.6460E-08
-1.6176E-07	-4.6264E-08	1.0544E-06	-1.2296E-06
-1.5952E-07	6.3421E-08	7.3505E-07	4.9630E-07
-1.2419E-07	1.1174E-07	1.3426E-06	-1.5413E-07
-7.8819E-08	1.2576E-07	5.5337E-07	2.2901E-07
-3.2737E-08	1.0324E-07	1.2857E-06	5.9495E-07
-3.9763E-08	8.9695E-08	1.1385E-06	-3.0790E-07
-3.3777E-08	3.8687E-08	-7.5047E-08	3.7449E-07
-4.8186E-08	3.7116E-08	1.1009E-06	1.6298E-06
-5.9455E-08	2.2480E-08	1.8007E-06	2.5383E-07
-7.1662E-09	4.6080E-08	6.0117E-07	3.4801E-07
-3.4841E-08	7.4359E-08	1.1437E-06	1.1227E-06
3.7447E-08	9.6227E-08	1.3367E-06	6.7332E-07
1.3093E-08	5.0923E-08	1.2544E-06	1.0543E-06
2.4382E-08	2.4167E-08	1.8654E-06	9.7421E-07
-3.9044E-08	2.1096E-08	2.0643E-06	5.4547E-07
-5.7553E-08	3.5432E-08	1.8143E-06	1.8324E-08
-6.8372E-08	4.7208E-08	1.5397E-06	3.8395E-07
-2.0058E-08	1.0172E-07	2.0574E-06	-1.0265E-07
-7.4535E-09	1.5580E-07	1.0976E-06	-5.4083E-07
7.3126E-08	1.0965E-07	7.9953E-07	2.1483E-07
1.2805E-07	5.4400E-08	1.1790E-06	4.7019E-07
1.6395E-07	-1.4948E-08	1.3240E-06	1.7126E-07
1.3787E-07	-7.8324E-08	1.0197E-06	1.8479E-07
-7.3302E-09	-9.8138E-08	9.0634E-07	3.7542E-07
-3.7180E-08	-9.3010E-08	1.1381E-06	7.7723E-07
-1.1575E-07	-4.2563E-08	1.2829E-06	3.2074E-07
-8.9179E-08	5.6246E-08	1.0098E-06	1.1487E-06
-5.4114E-08	5.5097E-08	2.6806E-06	5.3472E-07
2.6155E-08	1.5021E-07	1.0397E-06	-1.0636E-06
9.4040E-08	6.9544E-08	3.6460E-07	1.0930E-06
1.3703E-07	5.3235E-08	2.3182E-06	4.1383E-07
9.8722E-08	-3.7808E-08	4.2907E-07	-4.4553E-07
8.4263E-08	-8.1857E-08	1.3914E-06	1.3637E-06
2.9042E-08	-9.6618E-08	1.1454E-06	-7.2622E-07
-1.9025E-08	-1.0486E-07	1.4957E-07	1.8931E-06
-4.3001E-08	-8.3422E-08	2.6741E-06	6.1565E-07
-2.2416E-08	-7.2948E-08	9.6014E-07	5.1557E-07
-3.8321E-08	5.8570E-09	2.0248E-06	2.4500E-07
-3.8050E-08	-5.9326E-09	6.3277E-07	1.1918E-06
-1.8807E-08	5.3086E-09	3.8142E-06	5.2918E-07
-2.7658E-08	-3.5745E-08	4.6398E-07	-1.6853E-06
-5.1469E-08	-6.5752E-08	9.4838E-07	1.3180E-06
-6.5948E-08	-2.4499E-09	1.4166E-06	3.3103E-07
-9.9862E-08	1.0931E-08	2.2314E-06	8.8501E-07
-1.7859E-08	7.4451E-08	1.7871E-06	-5.6985E-07
-3.8987E-08	5.6564E-08	1.8654E-06	-4.2403E-08
1.7882E-08	3.6052E-08	7.2317E-07	-9.5033E-07
4.0101E-08	3.5019E-08	1.2112E-06	9.2997E-07
1.2509E-08	-4.7004E-08	1.6849E-06	-8.1514E-07
-1.9880E-08	-6.2431E-08	7.4061E-07	-2.7445E-07
-2.4715E-08	-3.8019E-08	1.7201E-07	-4.3240E-07
-8.6503E-08	-3.2749E-08	6.0759E-07	1.0943E-06
-7.8553E-08	3.4982E-08	6.3719E-07	-2.2843E-07
-5.6947E-08	8.0177E-08	2.6385E-07	1.7957E-06
1.2893E-08	9.9986E-08	1.7582E-06	5.3640E-07
-1.5657E-08	7.4755E-08	7.4055E-07	1.4057E-06
4.8887E-08	3.5683E-08	2.4709E-06	7.2307E-07
6.1186E-08	6.7909E-09	1.2035E-06	3.2168E-07
8.0196E-08	-6.7992E-09	1.9092E-06	6.9742E-07
4.0637E-08	-4.1756E-08	2.0134E-06	2.7792E-07
6.4948E-10	-4.2153E-08	1.8255E-06	-7.4740E-07
-1.4359E-08	-4.8569E-08	6.3308E-07	3.7958E-08
1.5857E-08	4.8548E-09	1.4068E-06	-2.3183E-07
-6.0442E-08	-2.0715E-08	-6.3301E-08	4.2110E-07
1.5601E-08	2.6690E-09	1.7642E-06	1.2987E-06
1.7831E-08	1.4085E-08	1.5607E-06	1.3810E-07
1.3283E-09	5.4393E-08	1.8888E-06	4.8638E-08
3.0647E-08	3.2850E-08	6.8133E-07	-6.5533E-07
3.1388E-08	1.8991E-08	6.8184E-07	6.9307E-07
1.4702E-08	3.3957E-08	1.0656E-06	3.6556E-07
4.8834E-08	-9.2154E-09	1.1354E-06	6.7220E-07
