jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.3189E-06	8.8727E-07	-2.9244E-06	-1.3692E-06
2.9976E-06	-6.3886E-08	-3.3798E-06	7.6146E-07
1.6510E-06	-1.1560E-06	-2.0890E-06	1.3491E-06
9.2284E-07	-1.5309E-06	-2.0530E-06	1.8757E-06
-5.9001E-07	-1.5897E-06	2.3033E-07	1.5879E-06
-1.2480E-06	-1.0896E-06	-1.5241E-06	-6.9188E-07
-1.7475E-06	-3.6170E-07	-2.0081E-06	1.6763E-06
-1.4120E-06	4.0814E-07	-1.2815E-06	7.0759E-07
-9.1692E-07	6.7447E-07	-1.9308E-06	1.9939E-06
-1.6271E-07	6.6722E-07	-7.1487E-07	1.8016E-06
9.4131E-08	3.8992E-07	-5.7431E-07	2.0317E-06
3.3469E-07	1.2667E-08	8.4715E-08	1.0178E-06
8.4261E-08	-2.7726E-07	-6.9050E-07	1.0375E-06
-2.2871E-07	-3.8849E-07	-7.9024E-07	7.9545E-07
-5.8384E-07	-2.4025E-07	-1.0844E-06	2.0548E-06
-6.0068E-07	-2.7592E-08	5.4322E-07	1.3878E-06
-5.7120E-07	7.1230E-08	-2.7971E-07	7.5213E-07
-4.4068E-07	1.5953E-07	-2.6108E-07	3.3102E-07
-4.3473E-07	1.0487E-07	-1.6246E-06	9.6106E-07
-4.0089E-07	1.1540E-07	-4.3726E-07	1.6794E-06
-5.8871E-07	1.0424E-07	-8.7386E-07	1.2805E-06
-6.6318E-07	1.3150E-07	-2.4521E-07	1.7886E-06
-7.4453E-07	2.7948E-07	-4.3353E-07	1.5995E-06
-5.3485E-07	4.9525E-07	8.4882E-07	1.8012E-06
-3.8466E-07	5.8671E-07	2.1113E-07	1.1411E-08
-1.5632E-07	5.0558E-07	-3.5522E-07	9.6643E-07
2.9205E-08	3.9604E-07	-4.7111E-07	-3.7367E-08
1.4285E-07	2.9407E-07	-1.7063E-06	1.5999E-06
3.0074E-08	1.0027E-07	2.5732E-07	1.6899E-06
-1.2694E-07	9.2874E-08	-7.0392E-07	9.9764E-07
-2.8911E-07	1.2302E-07	1.6342E-07	1.7143E-06
-3.2914E-07	2.9563E-07	-2.3752E-07	5.1616E-07
-3.3657E-07	4.9248E-07	-5.2763E-07	1.4737E-06
-1.1784E-07	5.7531E-07	-1.2941E-07	9.5209E-07
3.7061E-08	5.9681E-07	-5.2770E-07	1.2210E-06
2.6982E-07	4.8728E-07	-5.2077E-07	1.2228E-06
3.4568E-07	4.0734E-07	-2.4321E-07	1.9869E-06
4.2497E-07	2.2884E-07	7.4705E-07	1.0338E-06
3.3577E-07	1.4906E-07	-3.0610E-07	3.6612E-07
3.0522E-07	1.1234E-07	-9.0488E-07	7.7852E-07
3.0401E-07	1.3264E-08	-1.2279E-06	1.6323E-06
3.3750E-07	5.9087E-08	-4.5425E-07	2.5220E-06
3.4469E-07	-3.1679E-08	1.0196E-06	2.1176E-06
3.9750E-07	-1.2399E-07	4.5411E-07	3.9984E-07
2.9422E-07	-1.7557E-07	-4.8301E-07	1.7197E-06
2.4062E-07	-2.3484E-07	1.2091E-06	1.2251E-06
1.2687E-07	-2.1837E-07	-1.8835E-08	-3.9025E-08
8.9981E-08	-1.2669E-07	-7.9470E-07	7.7338E-07
8.5720E-08	-8.6022E-08	-4.7601E-07	1.4018E-06
1.3121E-07	1.8050E-08	-3.7939E-07	8.7930E-07
2.2696E-07	2.8844E-08	-1.0229E-06	2.0259E-06
2.9449E-07	-2.6866E-08	8.7459E-07	1.7933E-06
2.9256E-07	-9.2558E-08	-6.0986E-07	8.2850E-07
2.0724E-07	-1.4765E-07	3.2893E-07	2.6609E-06
7.8307E-08	-1.9875E-07	1.5122E-06	6.3409E-07
-2.0453E-08	-1.2608E-07	-1.5072E-07	2.2429E-07
-4.0106E-08	-7.8066E-08	4.6364E-08	8.6651E-07
2.1405E-09	2.3934E-08	-2.8180E-07	-7.0061E-08
1.5210E-07	1.1914E-07	-1.7084E-06	1.0829E-06
2.6897E-07	1.1282E-07	-2.3917E-07	1.9140E-06
3.5034E-07	-2.9822E-08	-6.7210E-07	1.2783E-06
3.8854E-07	-8.6250E-08	2.9559E-07	1.9563E-06
2.5425E-07	-2.1892E-07	-3.4531E-07	2.1196E-07
1.3966E-07	-1.9979E-07	-1.1171E-06	1.9104E-06
-1.3051E-08	-1.5787E-07	-4.8645E-07	1.0982E-06
-1.7817E-08	-7.5153E-08	-1.6962E-06	2.7662E-06
-6.1490E-08	4.5778E-08	8.2788E-07	3.1247E-06
1.0681E-07	1.3240E-07	7.2519E-07	2.0464E-06
1.6295E-07	1.1619E-07	1.3472E-06	1.3124E-06
2.6444E-07	9.1166E-08	-4.0416E-07	7.5376E-07
2.0695E-07	-5.0645E-08	2.1647E-07	2.2552E-06
2.1006E-07	-2.2545E-08	5.3791E-07	1.3015E-06
