jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1.9599E-06	5.1928E-07	-1.9098E-07	-2.5353E-08
2.0985E-06	-3.5755E-07	-4.5651E-07	1.3724E-07
1.5555E-06	-1.1621E-06	-3.7736E-07	7.0280E-07
9.4932E-07	-1.4505E-06	7.0763E-08	6.3949E-07
-1.2622E-08	-1.5507E-06	-3.3517E-08	5.7167E-07
-4.6507E-07	-1.1057E-06	2.7349E-07	8.1757E-07
-7.9721E-07	-5.4376E-07	3.7974E-07	1.8135E-09
-6.1009E-07	1.7366E-08	-7.8535E-07	6.9446E-07
-2.7888E-07	2.7428E-07	6.6919E-07	1.3740E-06
1.6022E-07	2.7426E-07	4.0199E-07	2.9499E-07
3.5012E-07	9.4582E-08	4.5372E-07	6.6826E-07
4.3265E-07	-1.9767E-07	-2.8867E-08	2.5726E-07
2.2875E-07	-4.1204E-07	1.5526E-07	1.1491E-06
3.8345E-08	-4.8145E-07	4.8047E-07	9.0960E-07
-1.8167E-07	-4.5552E-07	1.2032E-06	8.4981E-07
-2.6236E-07	-3.3113E-07	4.2942E-07	-3.0190E-07
-2.6579E-07	-1.6450E-07	2.8120E-07	8.5227E-07
-1.9180E-07	-8.2527E-08	5.2975E-07	2.5137E-08
-1.5269E-07	-7.1318E-08	1.5057E-07	6.6290E-07
-1.7553E-07	-7.4041E-08	2.7966E-07	1.9950E-07
-2.2624E-07	-8.1709E-08	1.5511E-07	9.3514E-07
-2.8099E-07	-5.7853E-08	4.0477E-07	1.6309E-07
-3.7552E-07	5.1078E-08	-2.2887E-07	1.1475E-06
-3.5762E-07	1.5758E-07	8.4463E-07	9.1419E-07
-2.4819E-07	2.0196E-07	5.7432E-07	9.2439E-07
-7.6120E-08	2.6944E-07	1.1650E-06	4.2846E-07
5.1138E-08	1.5808E-07	5.7032E-07	2.8299E-07
1.4245E-07	3.7031E-08	8.0628E-07	1.1293E-07
6.2716E-08	-6.9903E-08	4.0394E-07	2.0214E-08
-4.6200E-08	-8.2827E-08	2.4981E-07	-3.5411E-07
-1.9454E-07	-2.6181E-08	-7.2403E-07	2.0545E-07
-2.4856E-07	1.0682E-07	-2.1502E-07	9.0615E-07
-2.4713E-07	2.1512E-07	1.6295E-07	9.2101E-07
-1.3554E-07	3.2789E-07	1.5389E-07	2.5830E-07
3.9741E-08	3.4074E-07	-8.2220E-07	1.0499E-06
1.2949E-07	2.5995E-07	4.7916E-07	1.8160E-06
2.1074E-07	1.5902E-07	8.9218E-07	7.4768E-07
2.2241E-07	8.5084E-08	1.0940E-07	4.9506E-07
1.7141E-07	-3.4137E-08	1.0269E-07	1.2054E-06
1.5974E-07	-6.7984E-09	3.4424E-07	9.4139E-07
1.4623E-07	-1.4136E-09	3.7154E-07	1.4033E-06
1.2593E-07	-1.5513E-08	5.7154E-07	7.1844E-07
1.4587E-07	-3.2616E-09	-7.9551E-08	1.8343E-06
1.7416E-07	-8.9315E-08	1.7602E-06	1.6929E-06
1.2149E-07	-1.2858E-07	1.4026E-06	5.7752E-07
9.3724E-08	-1.5205E-07	1.0958E-06	6.5249E-08
1.9206E-09	-1.9091E-07	-2.0134E-08	7.8398E-07
-4.7402E-08	-1.4915E-07	1.5380E-06	1.2549E-06
-7.2355E-08	-3.8905E-08	1.1629E-06	-3.4817E-07
-7.4292E-08	-1.8257E-08	-1.5744E-07	-8.6704E-08
-1.4385E-08	4.8631E-08	-2.0891E-07	1.4831E-06
5.5105E-08	-1.7002E-08	1.3763E-06	9.4220E-07
6.0467E-08	-5.3379E-08	1.5237E-07	6.3255E-07
2.9837E-08	-1.0122E-07	1.4234E-06	1.2335E-06
-6.1877E-08	-1.4595E-07	7.3345E-07	-1.0264E-07
-1.1697E-07	-6.3404E-08	6.0228E-07	7.8769E-07
-1.6364E-07	-1.5968E-08	6.3856E-07	2.5335E-07
-1.0474E-07	5.5795E-08	3.5307E-07	5.3626E-07
-3.2993E-08	7.4891E-08	1.2508E-07	9.4994E-07
3.4524E-08	5.3479E-08	1.3371E-06	1.2023E-06
9.0722E-08	-4.7637E-09	7.6408E-07	-2.0224E-07
1.4880E-07	-9.1628E-08	2.0992E-07	8.2510E-07
1.8484E-08	-1.4962E-07	8.1931E-07	6.9089E-07
-5.0403E-08	-1.1394E-07	7.9599E-07	3.4378E-07
-1.4296E-07	-7.1002E-08	9.6264E-08	4.0076E-07
-1.6348E-07	-4.3019E-09	8.5796E-07	1.0727E-06
-1.4370E-07	6.1811E-08	7.2631E-07	-3.6773E-08
-4.5419E-08	1.0423E-07	3.0060E-07	4.4237E-07
-5.3249E-08	1.0611E-07	-4.2060E-08	2.0072E-07
1.4628E-08	8.6333E-08	4.9567E-08	1.2657E-06
5.1126E-08	1.8810E-08	5.2094E-07	6.4250E-07
1.6900E-08	-3.3353E-08	3.0543E-07	1.1871E-06
-1.8707E-08	-3.4893E-08	7.7606E-07	5.8205E-07
-5.2471E-08	2.4365E-08	1.8100E-07	9.7992E-07
-3.7573E-08	4.0985E-08	7.9360E-07	8.6483E-07
-1.9791E-08	6.2178E-08	4.3357E-07	9.7707E-07
1.0245E-08	8.8654E-08	1.1870E-06	7.9321E-07
5.1089E-08	7.4707E-08	3.8317E-07	1.2071E-07
4.5723E-08	1.5172E-08	2.4483E-07	1.1815E-06
1.6215E-08	1.0838E-08	1.3440E-06	6.8568E-07
-3.5304E-08	-1.9790E-08	3.6986E-07	-2.3590E-07
-8.4158E-08	5.5659E-08	-8.0098E-08	5.5712E-07
-4.3880E-08	9.8527E-08	-3.2113E-07	7.0480E-07
2.9853E-08	1.5853E-07	2.7945E-07	1.9981E-06
1.2421E-07	1.0707E-07	1.5578E-06	4.7589E-07
1.4228E-07	8.0114E-08	-3.8090E-07	2.4521E-07
1.6148E-07	1.1343E-08	4.3396E-07	1.5792E-06
1.3018E-07	-5.7012E-08	5.3282E-07	4.9558E-07
8.0733E-08	-1.3674E-07	-5.5838E-08	1.4644E-06
7.4061E-09	-1.2929E-07	1.1477E-06	1.2328E-06
-7.0003E-08	-7.1615E-08	3.7710E-07	7.4096E-07
-7.9276E-08	1.5632E-08	8.1087E-07	1.2862E-06
-6.0832E-08	7.2842E-08	6.1729E-07	6.8943E-07
4.9860E-09	1.1907E-07	6.0040E-07	1.2832E-06
1.1532E-07	9.6571E-08	9.8582E-07	9.6340E-07
1.3392E-07	3.9471E-08	9.2521E-07	7.4459E-07
1.0947E-07	-2.6096E-08	5.7539E-07	7.8762E-07
1.4969E-07	-9.0915E-08	1.2514E-06	8.2608E-07
6.6547E-08	-1.3112E-07	2.9754E-07	-1.7321E-07
8.3198E-09	-1.2248E-07	-5.0058E-08	1.2822E-06
-3.8291E-08	-9.8497E-08	6.0840E-07	1.0199E-06
-6.5122E-08	-4.6073E-08	8.3687E-07	1.3141E-06
-3.4555E-08	-3.9879E-08	8.2989E-07	3.7764E-07
-2.4953E-08	-3.5866E-08	4.7968E-07	1.2467E-06
-5.5530E-08	5.7060E-09	1.0282E-06	1.4129E-07
-4.1237E-08	1.7078E-09	-5.8703E-07	1.0751E-06
-6.6855E-08	5.3623E-09	1.2670E-06	1.7739E-06
-7.6552E-08	1.0038E-08	9.3784E-07	3.9054E-07
-1.7586E-08	1.4700E-08	5.3599E-07	8.5490E-07
-6.5394E-09	5.5679E-08	5.4660E-07	6.7414E-07
1.8640E-08	3.1492E-08	2.0883E-07	1.1190E-06
7.8200E-08	4.5544E-09	8.2898E-07	1.3200E-06
2.1767E-08	1.2045E-09	7.1524E-07	1.1118E-06
4.5777E-08	-6.3732E-08	1.4073E-06	1.1411E-06
-8.6558E-09	-7.6463E-08	6.4105E-07	9.8228E-08
-7.7402E-08	-1.9526E-08	4.8495E-07	1.4353E-06
-9.5950E-08	2.2855E-08	1.1893E-06	5.7185E-07
-6.9271E-08	3.3655E-08	6.3218E-07	8.9410E-07
-5.8624E-08	6.2245E-08	8.5797E-07	4.5428E-07
4.5485E-09	5.0028E-08	5.5274E-07	1.1093E-06
8.0968E-10	-1.3912E-09	1.1955E-06	1.8603E-07
1.0153E-07	1.5614E-08	-2.2183E-07	5.7038E-07
5.9131E-08	-5.4475E-09	6.3659E-07	1.2255E-06
1.9044E-08	-5.0140E-08	7.1828E-07	8.5467E-07
-9.3975E-09	-6.4249E-08	4.4778E-07	4.8924E-07
-1.8411E-08	7.2545E-09	4.2849E-08	1.4978E-06
-1.9403E-08	-2.2676E-08	1.3344E-06	1.1769E-06
-2.6427E-08	4.3686E-08	5.5554E-07	6.1751E-07
-3.8473E-08	3.6622E-08	6.1412E-07	1.1786E-06
-1.7897E-08	2.8975E-08	1.2986E-06	1.0880E-06
1.4958E-09	1.9178E-08	7.1893E-07	-1.8057E-07
-1.5091E-08	1.4541E-08	-1.8567E-07	1.3809E-06
1.4894E-08	2.5416E-08	1.1338E-06	9.6545E-07
3.8237E-09	3.2839E-08	7.6610E-07	1.2334E-06
-1.3359E-08	1.0266E-09	1.1884E-06	4.6215E-07
2.0697E-08	5.7673E-08	-4.5926E-07	2.8675E-07
4.2881E-08	6.2345E-09	7.8848E-07	1.3734E-06
7.4928E-08	2.0131E-09	3.4527E-09	9.0870E-07
5.4168E-08	-4.0218E-08	1.1800E-06	1.3394E-06
7.0605E-08	-3.7391E-08	-2.2503E-07	7.8018E-07
2.1451E-08	-6.9253E-08	1.4720E-06	2.3511E-06
-2.1417E-08	-5.7698E-08	1.2687E-06	7.4135E-08
-4.6695E-08	-2.0844E-08	7.1202E-07	1.2515E-06
-4.8396E-08	-4.6513E-09	1.0248E-06	5.3543E-07
-7.9329E-08	2.3245E-08	9.0973E-07	9.6188E-07
-3.1128E-08	2.3117E-08	7.3280E-07	3.7781E-07
-1.5903E-08	4.8386E-08	7.8644E-07	1.1558E-06
3.4182E-08	-4.0971E-08	1.1260E-06	3.6206E-07
2.6728E-08	-4.9874E-08	8.3803E-07	3.4383E-07
1.0098E-08	-2.0698E-08	4.0147E-08	-1.7626E-07
4.9969E-09	-2.0583E-08	-1.7495E-07	1.3145E-06
-3.1812E-08	-4.4614E-08	5.6582E-07	6.2735E-07
-6.5616E-08	-3.6895E-08	-3.2528E-07	1.2894E-06
-6.9638E-08	5.4527E-09	8.2688E-07	1.8634E-06
-3.1238E-08	3.1352E-08	1.5944E-06	1.0211E-06
-7.9054E-09	3.6940E-08	6.8481E-07	-2.9850E-07
-1.4223E-08	2.9333E-08	-4.5493E-07	1.0323E-06
-9.4160E-09	4.1337E-08	4.8157E-07	1.1927E-06
3.7046E-09	4.0133E-08	9.6759E-08	1.6868E-06
-3.1987E-08	2.0214E-08	1.7254E-06	1.4385E-06
1.2473E-08	2.0368E-08	4.3159E-07	1.2791E-07
1.8360E-08	-2.1010E-08	4.8609E-07	1.7108E-06
-3.7935E-09	-2.4325E-08	1.4879E-06	4.9389E-07
1.4802E-08	-2.7844E-08	-1.1488E-07	1.2567E-07
