jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1.7100E-06	-9.8388E-07	-1.3095E-06	1.3892E-06
2.0161E-06	-1.9927E-06	2.2507E-07	1.2626E-06
7.6634E-07	-2.1118E-06	-4.4261E-07	5.2607E-08
1.0032E-07	-1.9685E-06	-9.0428E-07	1.4820E-06
-8.5666E-07	-1.3321E-06	7.4647E-07	1.1564E-06
-1.1936E-06	-5.3201E-07	7.2450E-08	5.8516E-08
-1.1702E-06	2.1019E-07	-6.0433E-07	6.4251E-07
-6.4291E-07	4.7254E-07	8.3991E-08	1.6889E-06
-1.4306E-07	4.8901E-07	1.4825E-06	5.1568E-07
2.7467E-07	9.3026E-08	3.8834E-07	-2.9718E-07
3.0629E-07	-2.4820E-07	3.2772E-07	-4.8353E-07
2.4588E-07	-5.0559E-07	-1.1349E-06	-1.9809E-08
-7.3385E-08	-6.1193E-07	3.3873E-07	1.0587E-06
-2.6266E-07	-4.5078E-07	-1.2225E-07	-2.1159E-07
-4.5564E-07	-2.2718E-07	1.8858E-07	7.8993E-07
-3.7864E-07	-1.2984E-08	7.8407E-08	-5.7741E-07
-3.6106E-07	8.5595E-08	-6.7181E-07	6.0738E-07
-2.1049E-07	5.9057E-08	1.5476E-07	1.3959E-07
-2.3710E-07	-1.9165E-08	-7.1774E-07	5.0782E-07
-2.5514E-07	-4.6058E-08	6.2253E-07	9.6047E-07
-4.0641E-07	2.4614E-08	4.2921E-07	-1.0994E-06
-4.1813E-07	1.6296E-07	-2.1759E-06	-2.1632E-07
-4.3669E-07	3.2475E-07	-9.1065E-07	2.1161E-06
-2.7161E-07	4.7575E-07	2.1856E-07	1.5112E-06
-9.9510E-08	4.6015E-07	1.0680E-06	1.2953E-06
1.1299E-07	3.2381E-07	6.1160E-07	-1.8925E-07
2.0879E-07	1.4600E-07	1.8220E-07	7.1868E-07
1.4835E-07	-7.0006E-08	5.1015E-07	-2.1800E-07
2.1138E-08	-7.5604E-08	-2.7860E-07	5.3289E-07
-1.3288E-07	-5.8319E-08	5.6442E-07	-2.7536E-08
-1.6816E-07	2.0457E-07	-6.0584E-07	1.0396E-07
-2.3552E-07	3.3298E-07	8.9376E-08	3.3841E-07
-9.8298E-08	4.5156E-07	-7.6855E-07	4.1060E-07
9.1082E-08	4.8589E-07	5.6127E-07	7.7674E-07
2.7921E-07	3.5612E-07	-1.0640E-06	-7.8006E-07
3.7471E-07	2.1819E-07	-1.3302E-06	2.4373E-06
2.6242E-07	2.2783E-08	1.4471E-06	9.5338E-07
2.8738E-07	-1.0613E-07	-6.9078E-07	9.2277E-08
1.7821E-07	-1.0850E-07	-3.7936E-07	1.4058E-06
6.9743E-08	-1.3282E-07	-9.1715E-08	1.8129E-06
1.2867E-07	-2.1018E-08	1.4390E-06	1.4881E-06
1.6071E-07	-3.2700E-08	5.8190E-07	4.6103E-07
1.8070E-07	-1.8744E-08	1.2289E-06	8.7274E-07
1.4653E-07	-1.4275E-07	4.2912E-07	-3.3332E-07
7.3929E-08	-2.4790E-07	3.2211E-07	5.3742E-07
-2.7049E-08	-2.1597E-07	-4.3426E-07	-3.3965E-08
-1.8094E-07	-1.8235E-07	1.0435E-07	1.9876E-06
-1.5930E-07	-8.5977E-08	1.2643E-06	1.0344E-07
-1.2649E-07	3.1979E-08	-2.0787E-07	7.4999E-07
-7.7709E-08	8.4943E-08	8.8579E-07	7.1678E-07
5.3112E-08	7.1948E-08	4.0227E-07	6.4073E-07
4.2226E-08	-6.5539E-10	1.0357E-06	1.2094E-07
4.4651E-08	-5.7982E-08	-4.4589E-07	-1.4466E-07
-2.1835E-08	-1.1314E-07	-1.0833E-07	1.3871E-06
-8.9388E-08	-2.4938E-08	1.0648E-06	7.2614E-07
-1.8210E-07	3.5483E-09	-2.5907E-08	3.3557E-08
-1.8709E-07	7.3154E-08	2.6066E-07	1.5034E-06
-8.0618E-08	1.2459E-07	1.2169E-06	9.4127E-08
2.4069E-08	1.3360E-07	-2.5356E-07	3.0067E-07
9.5421E-08	1.8252E-08	2.1007E-07	6.4588E-07
4.6564E-08	-6.2805E-08	-1.6171E-07	1.3593E-06
3.7075E-09	-1.0757E-07	1.5321E-06	9.1610E-07
-8.4021E-08	-1.1667E-07	-1.6468E-07	-5.4619E-08
-1.7323E-07	-5.5614E-08	3.6456E-07	1.5563E-06
-2.5810E-07	4.1841E-08	6.3440E-07	8.2053E-07
-1.9115E-07	2.1726E-07	1.2674E-06	1.4151E-06
-1.0930E-07	2.3843E-07	1.3441E-06	-4.3063E-07
3.9015E-09	1.7566E-07	-3.4373E-07	4.4420E-07
4.3120E-08	1.2140E-07	7.4069E-07	1.2976E-06
1.0093E-07	4.3997E-08	1.2502E-06	5.7481E-07
7.5839E-08	2.3263E-08	6.1158E-07	-6.6180E-08
3.7249E-08	4.6788E-09	2.5790E-08	8.1134E-07
-7.7633E-08	2.1159E-08	8.4455E-07	1.2600E-06
-7.1306E-08	9.4046E-08	1.7371E-06	7.6837E-07
-3.0055E-08	8.1069E-08	1.0782E-06	-9.4687E-07
7.8355E-08	1.0387E-07	-6.6922E-07	4.2767E-07
9.6173E-08	9.9346E-08	8.1757E-07	9.6180E-07
1.2998E-07	2.2717E-08	8.6911E-08	6.9146E-07
1.0735E-07	-2.2646E-08	1.2780E-06	1.3432E-06
8.4844E-08	-2.3062E-08	8.0679E-07	9.6234E-08
-1.8906E-08	1.0353E-08	8.4344E-07	1.0881E-06
-3.8561E-08	2.9661E-08	8.2813E-07	2.0451E-07
-3.6360E-08	1.3688E-07	7.4687E-07	1.9716E-06
5.9651E-08	1.1098E-07	3.5721E-06	2.8065E-07
1.0025E-07	1.4009E-07	6.4511E-07	-2.1935E-06
1.9634E-07	-1.1025E-08	-3.7848E-07	5.8782E-07
1.2698E-07	-6.4926E-08	8.9859E-07	2.0680E-08
