jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.5942E-06	-5.7089E-07	-2.8751E-06	-5.7550E-07
4.9929E-06	-2.1178E-06	-2.5249E-06	1.9298E-06
3.1089E-06	-2.9917E-06	-1.0643E-06	1.3053E-06
1.5099E-06	-3.5855E-06	-1.2203E-06	1.5041E-06
-6.3661E-07	-3.2400E-06	-4.6457E-07	1.3777E-06
-1.8975E-06	-2.1685E-06	-2.5108E-07	1.1566E-06
-2.5681E-06	-7.3179E-07	1.2138E-07	1.4179E-07
-1.8478E-06	4.7530E-07	-1.6878E-06	-7.0487E-09
-8.5959E-07	9.2963E-07	-7.3962E-07	1.6900E-06
2.4485E-07	7.2786E-07	-6.0000E-07	-2.4794E-07
7.8088E-07	1.8134E-07	-2.2564E-06	1.5037E-06
1.0151E-06	-4.4999E-07	-1.3327E-07	1.7618E-06
6.4997E-07	-8.9994E-07	-9.9140E-07	8.3175E-07
2.2465E-07	-1.0418E-06	-9.8695E-07	1.7981E-06
-3.9383E-07	-9.8745E-07	-1.9047E-07	1.9384E-06
-6.2107E-07	-6.9899E-07	-7.1227E-08	1.0181E-06
-8.5096E-07	-4.6470E-07	-7.1622E-07	1.8968E-06
-7.0053E-07	-2.7313E-07	8.6937E-07	1.2677E-06
-6.4529E-07	-1.7354E-07	-1.1827E-06	6.2806E-07
-6.0189E-07	-7.2623E-08	1.2653E-07	2.9572E-06
-7.7073E-07	3.1122E-08	1.4539E-06	3.2795E-07
-7.6571E-07	2.3244E-07	-1.2097E-06	3.8856E-07
-7.7186E-07	4.5284E-07	-2.6629E-07	2.1698E-06
-5.1405E-07	6.1901E-07	3.5863E-07	1.3326E-06
-2.4121E-07	5.8345E-07	4.3821E-07	1.3415E-06
1.3391E-07	4.3017E-07	1.7695E-07	5.9943E-07
2.1408E-07	5.7873E-08	-6.5254E-08	1.0888E-06
2.4606E-07	-1.6540E-07	-5.9969E-07	4.0790E-07
2.6035E-08	-2.9328E-07	-1.1064E-06	2.4413E-06
-2.5896E-07	-2.1875E-07	8.5073E-07	1.9094E-06
-5.2445E-07	1.4736E-08	2.7407E-07	1.4986E-06
-5.7338E-07	3.5604E-07	2.5070E-07	7.9675E-07
-4.6546E-07	6.0842E-07	-9.6293E-07	2.6764E-06
-1.2739E-07	7.2715E-07	2.5829E-06	2.4507E-06
1.0545E-07	7.4824E-07	7.7094E-07	-3.2249E-07
4.0490E-07	5.1602E-07	-1.2982E-07	1.2586E-06
4.9261E-07	2.6675E-07	2.9461E-07	1.7058E-06
4.9113E-07	3.5305E-08	1.4997E-06	1.4162E-06
3.4603E-07	-5.2270E-08	5.9917E-07	1.9878E-07
3.2363E-07	-2.9539E-08	3.0709E-07	7.3835E-07
2.2109E-07	-6.5558E-08	-5.9765E-07	6.5221E-07
2.6604E-07	-7.3975E-08	-2.2188E-07	2.5972E-06
2.6051E-07	-2.0428E-07	1.7768E-06	2.1295E-06
2.6472E-07	-2.8061E-07	1.9557E-06	3.0903E-07
6.1981E-08	-3.7952E-07	2.4982E-07	-1.8447E-07
-5.0379E-08	-3.7640E-07	4.7116E-07	9.2267E-07
-2.6118E-07	-2.9464E-07	4.6675E-07	-5.0075E-07
-2.9933E-07	-7.9945E-08	-1.8176E-06	3.8657E-07
-2.6374E-07	3.9907E-08	-7.0149E-07	2.7365E-06
-1.2205E-07	2.0401E-07	7.9476E-07	1.9393E-06
6.0552E-08	2.2430E-07	7.6683E-07	1.6838E-06
1.6303E-07	1.1362E-07	1.0502E-06	9.0704E-07
1.6618E-07	-5.9218E-08	4.3511E-07	1.0235E-06
6.2003E-08	-1.6010E-07	6.8476E-07	2.7159E-07
-1.4737E-07	-2.0893E-07	-1.1299E-06	9.0782E-07
-2.9034E-07	-1.7895E-07	2.0168E-07	2.0603E-06
-4.3499E-07	5.3318E-09	-1.1760E-07	1.5918E-06
-3.1677E-07	1.6669E-07	1.0118E-06	2.1525E-06
-1.5021E-07	2.4252E-07	4.0364E-07	5.2335E-07
4.2865E-08	2.3352E-07	-5.3728E-07	2.0192E-06
1.5478E-07	7.4996E-08	6.6086E-07	2.4044E-06
1.7240E-07	-3.1992E-08	8.8659E-07	2.0077E-06
9.6174E-08	-1.0680E-07	1.2767E-06	2.3552E-06
-8.1088E-08	-1.7548E-07	2.3633E-06	9.8408E-07
-2.5473E-07	-6.3306E-08	2.8003E-07	1.8239E-07
-3.0904E-07	8.8617E-08	5.5763E-07	1.5951E-06
-2.2410E-07	2.0511E-07	2.0611E-07	1.1317E-06
-6.7295E-08	2.2788E-07	7.7324E-07	2.3520E-06
3.5884E-08	1.8566E-07	9.4568E-07	1.3806E-06
1.2572E-07	6.0514E-08	1.2951E-06	2.6546E-06
8.2045E-08	-1.4608E-08	2.4796E-06	8.3405E-07
-2.2097E-08	-6.4707E-08	1.0436E-06	1.0305E-06
-1.2678E-07	-2.1793E-08	2.1339E-06	6.8502E-07
-1.7302E-07	4.4804E-08	7.7876E-07	2.9957E-09
-1.9885E-07	1.4562E-07	9.3720E-07	6.7262E-07
-2.6304E-08	2.4211E-07	4.5474E-07	3.4185E-07
1.1197E-07	2.6856E-07	7.2172E-07	9.1511E-07
2.6855E-07	1.3277E-07	2.5614E-07	-7.2357E-08
1.5336E-07	1.0593E-07	-1.0412E-06	1.4208E-06
1.0687E-07	-4.7050E-08	5.4439E-07	2.6055E-06
5.2094E-08	-1.0032E-07	1.4762E-06	1.7190E-06
-2.4061E-08	-1.8997E-08	1.3182E-06	1.0310E-06
-7.0814E-08	4.7165E-08	9.2878E-07	8.1427E-07
1.3068E-09	1.7485E-07	4.3776E-07	8.9161E-07
1.0509E-07	1.7031E-07	4.5438E-07	1.7484E-06
1.9131E-07	1.1019E-07	1.4517E-06	1.4252E-06
2.2902E-07	-9.7167E-09	7.1674E-07	8.0019E-07
2.0039E-07	-1.4072E-07	6.7793E-07	1.7417E-06
1.0555E-07	-2.5036E-07	1.5403E-06	1.4853E-06
-5.3721E-08	-2.1756E-07	1.3806E-06	1.0092E-06
-1.0291E-07	-1.3100E-07	1.5567E-06	8.7828E-07
-1.9295E-07	5.3647E-08	1.1157E-06	2.0365E-07
-8.6743E-08	1.6132E-07	5.7190E-07	7.2685E-07
5.1667E-08	2.4714E-07	7.3393E-07	8.5495E-07
1.8936E-07	2.3040E-07	1.0526E-06	1.1194E-06
2.6431E-07	1.0338E-07	1.0364E-06	9.1110E-08
2.6555E-07	-3.3384E-08	4.1602E-08	1.0293E-06
1.7131E-07	-1.7903E-07	1.3933E-06	8.5364E-07
5.1600E-08	-2.5982E-07	4.6199E-07	1.7054E-07
-1.5715E-08	-2.6891E-07	4.6395E-07	1.0730E-07
-9.8917E-08	-1.6267E-07	-1.1797E-06	5.6878E-07
-1.4925E-07	-6.6646E-08	3.1153E-07	2.1558E-06
-1.4028E-07	-6.4713E-08	9.9303E-08	5.2156E-07
-1.0897E-07	-1.0835E-08	-6.5980E-07	2.1969E-06
-1.7957E-07	-1.7924E-08	8.2698E-07	2.2772E-06
-1.1685E-07	1.8075E-08	1.0854E-06	1.7801E-06
-1.5806E-07	6.3279E-08	1.0699E-06	1.0465E-06
-1.4692E-07	7.5566E-08	1.6132E-07	1.2012E-06
-2.8675E-08	1.1511E-07	4.9435E-07	2.0685E-06
3.5786E-09	1.1766E-07	1.3148E-06	1.7794E-06
1.0775E-07	6.8698E-08	1.2607E-06	1.0139E-06
1.6148E-07	2.5449E-08	4.6488E-07	7.0937E-07
1.1070E-07	-4.9825E-08	-4.2760E-08	1.6926E-06
5.6332E-08	-1.6631E-07	9.1313E-07	1.9358E-06
-9.2882E-09	-1.8705E-07	6.5460E-07	1.6128E-06
-1.1300E-07	-8.5831E-08	1.2050E-06	2.0111E-06
