jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.9889E-06	-2.5157E-07	-3.1886E-06	-8.7950E-07
4.6968E-06	-1.7409E-06	-2.2205E-06	5.7252E-07
2.8969E-06	-2.7151E-06	-3.3751E-06	8.3670E-07
1.6999E-06	-3.0646E-06	-1.3892E-06	2.3834E-06
-2.2254E-07	-2.6825E-06	-1.7567E-06	9.5561E-07
-1.4844E-06	-1.7815E-06	-1.0850E-06	2.4524E-06
-2.2922E-06	-4.4025E-07	-4.5824E-07	9.9676E-07
-1.5869E-06	6.8151E-07	-8.9050E-07	1.4032E-06
-6.0938E-07	1.0879E-06	-5.5730E-07	9.2641E-07
4.3272E-07	8.8289E-07	-1.0679E-06	9.2152E-07
9.4942E-07	4.1118E-07	-1.0828E-06	1.6072E-06
1.1910E-06	-1.5390E-07	6.8026E-08	1.1950E-06
8.5742E-07	-7.1197E-07	-1.3865E-06	4.7697E-07
3.6286E-07	-1.0229E-06	-6.0475E-07	2.3744E-06
-1.9906E-07	-9.0091E-07	4.8571E-07	3.9850E-07
-5.4077E-07	-7.1312E-07	-1.5961E-06	4.8938E-07
-7.6078E-07	-3.5135E-07	-7.8731E-07	2.1599E-06
-7.2292E-07	-8.0319E-08	3.5990E-07	1.0017E-06
-6.6447E-07	7.7911E-08	-7.4339E-07	7.2424E-07
-5.2916E-07	1.8493E-07	-1.3132E-07	9.1919E-07
-5.3094E-07	2.6435E-07	-1.3052E-06	2.2779E-07
-4.7295E-07	3.7654E-07	-1.4020E-06	2.0326E-06
-4.2910E-07	4.1017E-07	6.1519E-08	1.8318E-06
-2.8650E-07	4.8535E-07	-3.5446E-10	6.6432E-07
-8.2570E-08	4.3312E-07	-1.3404E-06	8.2188E-07
5.8496E-08	2.9886E-07	-1.0059E-06	2.0185E-06
7.7972E-08	1.5078E-07	-6.1760E-07	2.2572E-06
9.7258E-08	-7.7265E-08	5.8365E-07	2.5386E-06
-1.3912E-07	-1.1791E-07	9.0427E-07	1.4124E-06
-2.3148E-07	-5.4370E-08	1.0662E-06	1.1086E-06
-4.5967E-07	1.4044E-07	4.4070E-07	-3.7785E-08
-4.1175E-07	4.1345E-07	-4.6409E-07	8.1796E-07
-3.6679E-07	6.1115E-07	3.6462E-07	9.7985E-07
-9.7447E-08	7.1429E-07	-1.5076E-08	-3.7590E-08
1.1142E-07	6.1671E-07	-1.3827E-06	9.9686E-07
2.8758E-07	4.0979E-07	4.9514E-07	2.1798E-06
3.2209E-07	1.6985E-07	1.1153E-06	-8.9480E-09
3.0019E-07	1.0822E-07	-7.6492E-07	-7.3057E-07
