jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.2599E-06	-1.3495E-07	-2.7918E-06	-1.2533E-07
3.5598E-06	-1.2838E-06	-2.0525E-06	7.0572E-07
2.1066E-06	-2.0683E-06	-1.6429E-06	1.1280E-06
1.1943E-06	-2.3023E-06	-9.6020E-07	6.0361E-07
-2.3419E-07	-2.0501E-06	-1.6632E-06	6.3472E-07
-1.0795E-06	-1.3622E-06	-9.9294E-07	1.3680E-06
-1.5357E-06	-4.0473E-07	-2.9271E-07	4.0437E-07
-1.0890E-06	4.6162E-07	-1.5089E-06	-7.4231E-08
-4.7877E-07	7.2386E-07	-1.5392E-06	1.0441E-06
3.2428E-07	6.0290E-07	-1.2116E-06	8.0638E-07
6.6138E-07	2.5997E-07	-1.3125E-06	1.2498E-06
8.2031E-07	-2.4566E-07	-9.4411E-07	1.2131E-06
5.1752E-07	-5.1856E-07	-8.8368E-07	1.2542E-06
1.7652E-07	-6.9783E-07	-1.1132E-06	1.3443E-06
-1.8117E-07	-6.5538E-07	-3.4723E-07	2.3209E-06
-4.1719E-07	-4.6232E-07	8.3536E-07	9.5901E-07
-5.4156E-07	-2.9311E-07	-5.5152E-07	3.4656E-07
-4.4083E-07	-6.0670E-08	-3.4842E-07	1.6208E-06
-3.9552E-07	-8.3799E-09	1.0225E-06	6.3961E-07
-3.1325E-07	8.7482E-08	-4.8876E-07	-4.8064E-07
-3.4794E-07	1.2070E-07	-7.4484E-07	7.1857E-07
-3.7077E-07	1.7989E-07	-6.7529E-07	4.4265E-07
-4.1279E-07	2.2580E-07	-5.2216E-07	1.0229E-06
-2.6834E-07	2.9475E-07	-5.6839E-07	5.2705E-07
-1.4349E-07	3.1461E-07	-3.1262E-07	1.1953E-06
2.5834E-08	2.8303E-07	-5.2797E-07	2.0253E-07
4.6433E-08	1.5899E-07	-5.4706E-07	1.8997E-06
6.8084E-08	7.2289E-08	1.1047E-06	-1.1088E-07
-5.6588E-08	-2.3769E-08	-1.6384E-06	-1.4544E-07
-1.8518E-07	-2.7503E-08	-5.4094E-07	1.3269E-06
-3.0426E-07	8.7944E-08	-6.5868E-07	6.3019E-07
-3.3833E-07	2.6550E-07	-5.1182E-07	1.2010E-06
-3.0876E-07	4.5052E-07	-2.9049E-07	9.3981E-07
-1.6146E-07	4.6983E-07	-3.7552E-08	9.8703E-07
8.7891E-09	4.2784E-07	-4.2813E-08	6.6730E-08
1.6651E-07	3.3812E-07	-1.5476E-06	3.8642E-07
2.0306E-07	1.8142E-07	-8.1652E-07	1.8969E-06
2.4708E-07	1.7494E-07	-2.6688E-07	1.2746E-06
1.3068E-07	7.3473E-08	1.4666E-07	1.8996E-06
1.1096E-07	1.0312E-07	9.4759E-07	3.6017E-07
7.4633E-08	5.0234E-08	-5.6353E-07	3.2649E-07
1.2651E-07	-5.4028E-09	5.6287E-08	7.7638E-07
9.8805E-08	-6.0031E-08	-4.1068E-07	-1.0746E-07
1.1859E-07	-1.7827E-07	-1.6837E-06	7.3520E-07
1.4090E-09	-2.2908E-07	-5.1503E-07	2.3097E-06
-2.8014E-08	-2.2940E-07	5.4147E-07	9.2599E-07
-1.7779E-07	-1.7438E-07	-4.3185E-07	8.4097E-07
-2.1238E-07	-8.1158E-08	-1.9537E-07	1.2030E-06
-2.3797E-07	7.5509E-08	2.9395E-07	1.2131E-06
-1.5842E-07	2.0566E-07	8.4673E-08	1.6868E-07
-5.0499E-08	1.5724E-07	-7.7734E-07	9.7493E-07
4.2637E-08	1.1964E-08	-1.0122E-07	1.0208E-06
1.9448E-08	-5.1849E-08	-2.3727E-07	1.1294E-06
-7.2512E-08	-1.5749E-07	3.3841E-08	6.3920E-07
-2.1244E-07	-1.8613E-07	-7.3364E-07	9.9917E-07
-3.0033E-07	-8.4843E-08	-1.2599E-07	1.3341E-06
-3.6960E-07	2.7082E-08	-1.1811E-07	1.1019E-06
-2.9929E-07	1.4835E-07	-3.9747E-07	1.2254E-06
-2.3503E-07	2.1503E-07	4.5544E-07	2.0513E-06
-8.3902E-08	2.3632E-07	1.1171E-06	2.1132E-07
4.8329E-09	1.6321E-07	-5.6299E-07	5.0811E-07
4.6507E-08	3.5668E-08	4.2643E-08	9.6117E-07
