jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
6.4486E-07	1.2788E-07	8.3799E-08	1.1888E-09
8.9790E-07	-5.0471E-08	-6.6147E-08	-1.1566E-07
7.6102E-07	-3.3866E-07	5.0346E-07	-9.0325E-08
5.0370E-07	-5.4160E-07	-1.5195E-07	-8.6911E-07
1.2766E-07	-6.2583E-07	-5.3216E-07	-1.4564E-07
-1.2917E-07	-5.2157E-07	-4.9411E-07	1.2282E-07
-3.1307E-07	-3.0600E-07	2.8254E-07	3.2836E-07
-3.1937E-07	-1.2045E-07	-3.7255E-07	-8.4152E-07
-2.5848E-07	3.2975E-08	-1.2652E-06	8.8929E-07
-9.3452E-08	1.0621E-07	5.5400E-07	1.3613E-06
6.3294E-08	2.2371E-08	1.3326E-06	4.0379E-07
6.6058E-08	-7.8319E-09	1.0649E-06	-1.3480E-06
6.5551E-08	-1.4647E-07	-1.1900E-06	-8.6011E-07
1.8869E-08	-1.4221E-07	-1.2942E-07	4.7860E-07
2.8978E-10	-1.6680E-07	-6.1944E-07	-4.3890E-07
-1.2783E-07	-1.3878E-07	-6.4241E-07	1.2702E-06
-1.8768E-07	-1.5680E-07	9.9192E-07	7.9466E-07
-1.0058E-07	-1.1615E-07	1.0920E-06	-3.5074E-07
-1.8575E-07	-1.0767E-07	-2.1350E-08	-1.3105E-06
-2.1793E-07	-4.7363E-08	-1.2103E-06	-2.4934E-07
-2.5586E-07	-1.1978E-08	-8.2853E-07	9.5717E-07
-2.1527E-07	1.8425E-08	8.8687E-07	1.0525E-06
-1.6066E-07	1.1843E-07	2.3427E-07	-9.6189E-07
-9.5967E-08	1.4279E-07	-7.8810E-07	7.4049E-07
1.0830E-08	1.8833E-07	4.6354E-07	2.3046E-07
9.5277E-08	7.5680E-08	-3.1007E-07	6.6226E-07
1.0056E-07	-6.3173E-08	9.1964E-07	4.3053E-07
6.4350E-08	-1.1683E-07	2.5714E-07	9.6873E-09
-3.7355E-08	-1.4814E-07	7.2411E-07	-1.6091E-07
-1.5751E-07	-1.2321E-07	-1.9740E-07	-5.9015E-07
-2.6316E-07	-5.2109E-08	-5.6268E-07	2.0088E-07
-2.5953E-07	1.3496E-07	2.1182E-07	1.1227E-06
-1.3792E-07	3.0576E-07	1.3250E-06	-3.4442E-07
2.0918E-08	3.3806E-07	-3.8298E-07	-5.8564E-07
1.1395E-07	3.0606E-07	2.5524E-07	3.0746E-08
1.7871E-07	2.1144E-07	-5.0941E-07	-3.9689E-07
2.0238E-07	7.5258E-08	-1.6048E-07	6.9783E-07
1.8602E-07	-1.2977E-08	3.4666E-07	-1.3514E-08
1.2280E-07	-1.3101E-07	-2.6530E-07	2.8938E-07
1.2544E-08	-1.3092E-07	9.3436E-07	4.8753E-07
-4.2950E-08	-5.4522E-08	2.0714E-07	-1.3008E-06
-7.5408E-08	5.3619E-08	-9.8125E-07	2.2677E-07
-4.0117E-08	1.1203E-07	-1.9087E-07	3.3259E-08
7.0570E-08	1.0401E-07	-6.1986E-07	1.2910E-06
1.5062E-07	2.1569E-08	1.6297E-06	2.3726E-07
1.5188E-07	-2.3139E-08	-5.3962E-07	-7.7595E-07
1.5998E-07	-5.3535E-08	-7.9956E-08	5.2539E-07
9.6252E-08	-9.9122E-08	-2.0363E-07	4.5830E-07
5.6154E-08	-1.2359E-07	1.0159E-06	5.1579E-07
-3.9789E-09	-1.1902E-07	8.2312E-08	-7.4490E-07
-5.2824E-08	-1.2489E-07	-1.0698E-07	3.4012E-07
-6.1735E-08	-5.7537E-08	4.8924E-07	-8.1577E-08
-7.2652E-08	-2.2722E-08	-5.7219E-08	-9.2342E-07
-4.8930E-08	-7.4552E-10	-1.5179E-06	3.6911E-07
-3.6793E-08	-3.7088E-08	7.7117E-07	1.2492E-06
-1.2055E-08	1.1207E-08	4.3336E-08	-7.8299E-07
-1.4768E-08	2.7426E-08	-5.2092E-07	6.7325E-07
1.0654E-08	2.4818E-08	4.9020E-08	2.7172E-07
3.9166E-08	-1.7057E-08	3.2152E-08	8.7538E-07
5.5833E-08	-3.0243E-08	7.6972E-07	4.4220E-08
5.8636E-08	-7.3890E-08	-3.7963E-07	1.9529E-07
-1.0405E-08	-8.9610E-08	9.7928E-07	1.0233E-06
-5.5272E-08	-1.6229E-07	1.1083E-06	-1.1039E-06
-5.3285E-08	-8.5127E-08	-7.1261E-07	-5.9153E-07
-1.2592E-07	-7.6455E-08	-2.8147E-07	7.2428E-08
-1.2045E-07	-6.2129E-09	-3.9405E-07	4.7904E-07
-1.2500E-07	8.0972E-08	5.8269E-07	3.6001E-07
-3.3909E-08	8.8942E-08	1.6728E-07	-2.7154E-07
-1.7826E-08	7.9569E-08	4.6856E-08	-2.6978E-07
3.0945E-08	1.0617E-08	-1.7294E-07	-1.5826E-07
2.7356E-08	7.5232E-09	-2.4712E-07	-7.7520E-07
-2.9745E-08	3.6912E-09	-1.6995E-06	8.9383E-08
-5.3027E-08	1.4984E-08	-6.5614E-07	1.0992E-06
-9.4790E-08	3.0042E-08	-5.2671E-07	1.2890E-06
-7.1977E-08	8.0641E-08	7.0317E-07	1.0623E-06
-4.0987E-08	9.5508E-08	7.5434E-08	6.4867E-07
2.4681E-08	9.7595E-08	1.0531E-06	5.7138E-07
6.7141E-08	9.4130E-08	-5.4277E-08	-1.2015E-07
5.4786E-08	3.8425E-08	6.1196E-07	6.2017E-07
6.0595E-08	-1.1270E-08	2.6477E-07	-1.4897E-07
5.6450E-08	1.9073E-08	5.7564E-07	-6.8879E-08
-9.2643E-10	-8.2143E-09	-6.3032E-07	-4.9173E-07
-2.4649E-08	3.1204E-09	2.5826E-08	7.7480E-07
-6.1992E-09	2.9817E-08	1.0331E-07	-2.5584E-07
-3.4272E-08	6.7380E-08	-4.3348E-07	-1.9540E-07
-9.4874E-09	1.0066E-07	-1.5886E-06	9.8385E-07
8.4045E-08	8.9849E-09	1.5450E-06	2.2117E-06
7.2729E-08	1.1410E-09	8.4332E-07	-1.6222E-06
6.3082E-08	-3.0147E-08	-1.3363E-06	4.5451E-07
8.9494E-08	-3.7498E-08	-3.0812E-07	9.0764E-07
2.9437E-08	-1.9085E-08	3.0527E-07	1.7029E-06
7.5478E-09	-4.9312E-08	1.5107E-06	1.2913E-07
-3.1978E-08	2.6963E-08	-2.3861E-07	-4.5939E-07
1.6408E-08	6.4633E-08	-4.7758E-07	1.1182E-06
-4.7806E-09	1.5939E-08	1.2372E-06	1.1657E-06
-2.1977E-08	-3.8235E-08	1.0047E-06	-1.0868E-07
3.0298E-08	-3.6253E-08	1.1256E-06	-4.1006E-07
4.7676E-08	7.6343E-09	-5.6425E-07	-1.2505E-06
2.6141E-08	-7.2590E-09	-5.0671E-07	7.1550E-07
3.8248E-10	1.5189E-08	-2.7796E-07	-6.3495E-08
3.2155E-08	-4.2250E-08	-6.4627E-08	1.1017E-06
6.8458E-08	-4.4386E-08	-6.8706E-08	-6.9829E-08
4.4353E-09	-4.0917E-08	1.4581E-07	1.8963E-06
5.2671E-09	-5.7618E-08	1.4455E-06	-6.5266E-07
-2.2499E-08	-7.6949E-08	-1.8475E-07	5.9330E-07
-6.4424E-08	-8.7360E-08	8.5939E-07	4.4301E-07
-9.2483E-08	-4.9290E-08	2.0924E-07	-1.3549E-07
-8.6622E-08	-8.6740E-09	7.0609E-07	-5.8315E-08
-6.8457E-08	4.4310E-08	-4.3156E-07	-7.9266E-07
2.9215E-09	6.8261E-08	-8.9148E-07	6.9824E-07
2.5745E-08	5.8365E-08	3.1253E-07	1.1288E-06
1.0135E-08	3.5247E-08	5.8109E-07	1.9965E-07
-4.1165E-09	-1.3820E-09	1.9799E-07	5.8372E-07
8.4853E-08	-5.5438E-08	1.0798E-06	-5.6739E-08
2.1186E-08	-1.8764E-08	-2.4934E-07	-8.1061E-07
-2.7833E-08	-3.3395E-08	-9.3802E-07	1.7295E-07
-1.0159E-07	3.2982E-09	-7.3897E-07	1.5796E-06
-9.2918E-08	1.5610E-08	1.6136E-06	1.5527E-06
-5.4462E-08	5.6856E-08	1.1161E-06	-8.1474E-07
-9.6414E-10	1.3563E-07	-1.2586E-07	-1.3098E-07
-2.5129E-12	6.9373E-08	-1.5682E-07	-1.8715E-07
6.0181E-08	9.7494E-08	-7.0637E-07	1.0602E-06
4.5612E-08	5.9384E-08	1.3333E-06	1.2955E-06
6.8089E-08	-4.1605E-08	1.2363E-06	-5.9561E-07
8.0487E-08	-4.4690E-09	1.1893E-07	-7.5638E-07
4.4112E-08	-5.8419E-08	-6.5056E-07	-3.1271E-07
-1.0756E-08	-2.2532E-08	-3.7017E-07	6.9192E-07
-7.8591E-08	1.8844E-08	1.5048E-07	1.7370E-07
-6.6001E-08	2.0858E-08	-6.9586E-07	5.8518E-07
-2.7619E-08	6.9468E-08	6.7034E-07	1.5449E-06
-2.0330E-08	3.6622E-08	1.3160E-06	-4.5604E-07
-2.1110E-08	4.4926E-08	-6.3902E-07	-5.9506E-07
5.0133E-08	1.3099E-07	-8.0876E-07	5.5313E-07
4.4803E-08	2.5890E-08	-6.4548E-07	1.5488E-06
6.7133E-08	2.2656E-08	9.9512E-07	1.9014E-06
2.3862E-08	4.6644E-08	1.6160E-06	8.5338E-07
5.7277E-08	-7.6191E-08	1.7656E-06	-3.7657E-07
-1.3277E-08	-1.2702E-07	-2.5811E-08	-6.2678E-07
4.5404E-08	2.3565E-08	1.0013E-06	6.6527E-07
3.8344E-08	-3.1580E-08	9.5107E-07	-1.4174E-06
1.3521E-08	7.0560E-09	-9.2380E-07	-7.2504E-07
1.1537E-08	-6.5590E-08	-8.3405E-07	5.8626E-07
4.4321E-09	-1.8748E-08	5.7102E-07	8.6835E-07
2.8495E-08	-7.0809E-09	-2.7586E-07	-6.2523E-07
-8.8436E-09	-3.1120E-08	-8.0087E-07	1.8936E-06
4.0114E-09	-2.1107E-08	2.1359E-06	9.0867E-07
3.0623E-08	-6.5855E-08	4.4164E-07	-1.0255E-06
-1.7850E-08	-2.6622E-08	-3.4065E-07	3.8865E-07
-1.6019E-09	-5.3069E-09	6.6672E-07	6.2521E-07
-2.0030E-08	-4.5264E-10	7.5857E-07	-2.0139E-07
-2.5856E-08	-2.8951E-08	1.9741E-07	-4.0437E-07
-4.7980E-08	-1.6620E-08	-4.1634E-07	-1.0225E-07
-3.7418E-09	-1.0462E-08	6.1553E-08	7.5439E-07
-2.5096E-08	-2.0743E-08	3.7315E-07	-7.1592E-08
7.6318E-09	7.4411E-09	-1.9447E-07	6.4239E-07
-1.7029E-11	2.3651E-08	1.0020E-06	3.3387E-07
-8.0443E-10	-1.5166E-09	1.4641E-07	-4.1054E-07
-3.3141E-09	-4.5071E-08	1.4318E-07	1.9790E-08
-8.4492E-10	-1.3222E-08	-3.8111E-07	-2.7753E-07
-4.8644E-08	4.3403E-09	-4.5038E-07	8.2865E-07
6.9737E-08	5.4339E-09	4.5560E-07	4.7004E-07
-1.8610E-09	-3.8357E-09	-2.0423E-07	2.0791E-07
2.4516E-08	2.3975E-09	-4.0925E-08	8.8303E-07
-2.0718E-08	-2.7533E-08	4.4182E-07	7.7597E-07
2.4443E-08	-7.7026E-08	3.9280E-07	5.2463E-07
1.4002E-08	-2.3048E-08	4.4026E-07	1.0197E-06
-2.7549E-08	-4.9844E-08	1.4030E-06	6.0339E-07
-1.5959E-08	1.6581E-08	1.0763E-06	1.3954E-07
-3.1317E-08	3.4310E-08	1.8772E-06	-6.3155E-07
-4.8144E-09	5.6689E-08	-2.9597E-07	-1.9046E-06
2.5550E-08	7.0656E-08	-4.6456E-07	2.7597E-07
3.9421E-09	5.5617E-08	-1.6615E-07	-9.4854E-07
3.6168E-08	3.7069E-08	-1.4590E-06	8.0913E-07
6.1069E-08	4.4166E-08	7.0089E-07	1.0986E-06
4.3149E-08	3.1971E-08	3.7192E-07	-1.5660E-07
5.0802E-08	-3.2321E-08	-3.0553E-07	-4.8795E-08
5.4243E-08	2.8533E-09	-4.1056E-07	8.1189E-07
4.3939E-08	8.3868E-09	3.2615E-07	5.2626E-07
3.4415E-08	-2.6055E-08	-6.1450E-07	9.4298E-07
-3.9024E-08	1.5317E-08	1.4300E-06	2.2754E-06
5.7011E-09	5.0859E-09	2.6626E-06	-8.5523E-07
7.9667E-09	-1.9607E-08	-3.2417E-07	-1.4782E-06
1.4785E-08	-3.4465E-08	-2.7249E-07	-3.7323E-08
