jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
4.2474E-06	-2.9595E-07	-1.8724E-06	1.2471E-06
4.3194E-06	-1.4824E-06	3.9839E-07	5.0586E-07
2.3358E-06	-2.6057E-06	-2.0865E-07	-2.9934E-07
9.5733E-07	-2.7183E-06	-8.5306E-07	-2.1973E-07
-8.5733E-07	-2.1728E-06	-7.9476E-07	1.3134E-06
-1.5749E-06	-1.0829E-06	7.8660E-07	2.4265E-07
-1.9037E-06	3.3715E-08	-1.3101E-06	2.4891E-07
-1.0901E-06	7.7464E-07	3.2693E-07	1.8903E-06
-4.0942E-07	8.5243E-07	2.3499E-07	4.3349E-07
4.3787E-07	5.8593E-07	2.4430E-07	1.7442E-06
5.8979E-07	8.7300E-08	1.3823E-06	1.0717E-06
5.5491E-07	-3.2534E-07	1.3436E-06	5.2035E-07
3.6172E-08	-5.4652E-07	1.0313E-06	2.9245E-07
-3.2747E-07	-3.8439E-07	1.7874E-06	2.8469E-08
-7.1163E-07	-1.2529E-07	3.8308E-07	-1.5354E-06
-7.4727E-07	2.5945E-07	-5.9103E-07	6.3083E-08
-5.8435E-07	4.9097E-07	-6.3284E-07	2.6250E-07
-3.5569E-07	5.8438E-07	2.3594E-07	1.9312E-06
-3.1114E-07	5.0762E-07	1.2800E-06	-2.5709E-07
-2.8216E-07	3.9799E-07	-9.2667E-07	8.7601E-07
-4.7578E-07	3.4610E-07	1.5246E-06	1.8386E-06
-5.9321E-07	5.5185E-07	1.6591E-06	-5.3760E-07
-6.6519E-07	7.1235E-07	-5.3378E-07	-7.0183E-07
-4.1884E-07	9.4029E-07	-5.9990E-07	1.4108E-06
-2.6922E-07	9.9257E-07	6.0485E-07	1.2065E-06
9.1328E-08	8.8434E-07	9.4097E-07	1.2433E-06
2.4983E-07	7.4622E-07	8.5144E-07	-7.6816E-08
3.2772E-07	5.3062E-07	-1.8380E-07	1.3553E-06
1.8022E-07	4.2297E-07	1.6119E-06	6.9864E-07
2.6892E-08	4.1533E-07	-3.5730E-08	3.0126E-07
-1.6911E-07	5.1124E-07	8.9427E-07	9.1141E-07
-2.4450E-07	7.6010E-07	-3.9728E-07	1.9137E-07
-1.9050E-07	1.0653E-06	-1.1289E-07	2.6933E-06
5.1092E-08	1.1011E-06	2.7922E-06	1.5484E-06
3.5266E-07	1.0999E-06	5.5643E-07	-1.0941E-06
5.4316E-07	8.9737E-07	-6.0516E-07	2.4533E-06
7.0198E-07	7.4986E-07	3.0634E-06	1.2334E-06
7.3467E-07	5.2674E-07	4.9015E-07	-7.5697E-07
6.4222E-07	3.8785E-07	3.4983E-07	9.6811E-07
6.4540E-07	2.7359E-07	3.4894E-07	6.6210E-07
5.6414E-07	2.2889E-07	3.5087E-07	1.4460E-06
4.7229E-07	1.8880E-07	1.0670E-06	1.6910E-06
4.9062E-07	1.1582E-07	1.8601E-06	8.5396E-07
4.1338E-07	3.6653E-08	7.0967E-07	1.2039E-07
3.9230E-07	-8.2518E-09	4.3241E-07	1.3479E-06
3.7993E-07	-8.9764E-08	2.0028E-06	1.3516E-06
2.5839E-07	-6.9153E-08	1.5672E-06	-1.2384E-06
1.7779E-07	-5.5224E-08	-1.6495E-06	-2.0068E-08
1.3975E-07	-5.6659E-09	-5.1146E-07	2.3755E-06
1.9655E-07	7.4147E-08	6.7174E-07	3.0328E-06
1.8506E-07	5.5941E-08	3.3084E-06	1.6377E-06
1.9787E-07	5.7477E-08	6.4269E-07	-9.1650E-07
1.8314E-07	-5.5414E-08	5.3658E-08	1.9310E-06
5.5419E-08	-7.4355E-09	1.2480E-06	9.2614E-07
-4.0850E-08	-2.7179E-08	2.2719E-07	1.6428E-06
-8.9802E-08	8.3754E-09	1.6007E-06	1.9908E-06
-1.0040E-07	1.0558E-07	1.7065E-06	9.9099E-07
2.8301E-08	1.6252E-07	1.1660E-06	6.0629E-07
1.1874E-07	1.7235E-07	2.8947E-07	9.9575E-07
1.8336E-07	9.5168E-08	8.4719E-07	2.3372E-06
2.5955E-07	-4.8845E-08	2.1670E-06	1.3477E-06
1.6112E-07	-1.5661E-07	8.7638E-07	7.9261E-07
7.7568E-08	-2.4095E-07	1.1103E-06	1.7977E-06
-3.4064E-08	-2.3668E-07	1.5346E-06	1.7383E-06
-1.5714E-07	-1.1762E-07	2.4006E-06	1.4011E-06
-2.7736E-07	-4.0739E-08	1.5867E-06	4.1318E-09
-3.4641E-07	7.9590E-08	4.2144E-07	1.0366E-06
-2.1645E-07	2.0776E-07	9.0589E-07	2.0069E-06
-2.0638E-07	2.6290E-07	2.3224E-06	2.4061E-06
-1.2760E-07	2.0277E-07	3.3221E-06	2.0551E-07
-4.5405E-08	1.3884E-07	4.0520E-07	-9.7345E-07
-3.6758E-10	8.1443E-08	-5.8511E-07	2.6228E-06
-3.0517E-08	7.5879E-09	3.5132E-06	2.9934E-06
1.7553E-09	-1.5933E-09	2.9706E-06	-7.5535E-07
-2.0581E-08	1.8661E-08	8.6383E-07	4.2104E-07
