jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.5857E-06	-2.0900E-07	-1.7153E-06	-7.6436E-07
2.5453E-06	-1.0080E-07	-1.9400E-06	1.4470E-07
1.4803E-06	-8.7970E-07	-9.2075E-07	3.7253E-07
9.2113E-07	-1.3218E-06	-1.2806E-06	2.3079E-07
-2.9856E-07	-1.3817E-06	-6.1231E-07	1.0687E-06
-9.5944E-07	-9.9951E-07	1.2123E-07	1.4280E-07
-1.4285E-06	-3.2725E-07	-7.4730E-07	2.1961E-08
-1.1390E-06	2.3692E-07	-2.6183E-07	5.9738E-07
-7.9605E-07	5.5880E-07	-2.7826E-07	-1.1402E-07
-5.3983E-08	4.6292E-07	-1.0359E-06	5.2266E-07
1.8745E-07	2.4328E-07	-8.3704E-08	1.4991E-06
3.4299E-07	9.1898E-08	1.1484E-06	4.9163E-07
1.1283E-07	-2.3949E-07	1.8786E-07	-6.2318E-07
-1.3388E-07	-3.3242E-07	-3.9213E-07	1.0562E-07
-4.6429E-07	-2.8456E-07	-1.8045E-07	6.1600E-08
-4.7883E-07	-1.0763E-07	-6.1339E-07	4.9427E-07
-5.3068E-07	5.9170E-09	2.9141E-07	7.8834E-07
-3.3525E-07	3.2289E-08	-2.5943E-07	-1.2833E-07
-3.1551E-07	1.3980E-08	-5.7151E-07	1.5262E-06
-2.9230E-07	-5.6553E-08	1.4577E-06	9.4396E-07
-4.5199E-07	-1.0812E-07	5.4025E-07	-3.9656E-07
-5.3764E-07	2.3259E-08	-3.4421E-09	-1.8489E-07
-6.8474E-07	1.5029E-07	-8.3103E-07	4.8899E-07
-5.9033E-07	3.2718E-07	6.1149E-07	1.4852E-06
-4.4733E-07	4.9825E-07	7.1519E-07	-2.6997E-07
-1.5664E-07	4.5520E-07	-5.4298E-07	5.3290E-07
8.8646E-09	2.7518E-07	2.5734E-07	1.1303E-06
1.0044E-07	1.6191E-07	5.9130E-07	9.7801E-07
-3.2280E-08	6.6729E-08	7.4728E-07	6.8121E-07
-1.4508E-07	2.0546E-08	7.5407E-07	1.0835E-06
-3.8195E-07	4.3706E-08	2.1137E-06	3.1445E-07
-4.8029E-07	3.0273E-07	4.8069E-07	-1.4577E-06
-4.3691E-07	4.5743E-07	-7.2614E-07	4.3265E-07
-2.3663E-07	6.4883E-07	4.2498E-07	6.0300E-07
-8.7116E-08	5.5924E-07	-9.1126E-08	7.0829E-07
1.2590E-07	4.7103E-07	8.9424E-07	1.2693E-06
1.5585E-07	3.3021E-07	1.0395E-06	1.2107E-07
1.8552E-07	1.4929E-07	1.9366E-07	7.2335E-07
8.2537E-08	1.6656E-07	1.6226E-06	9.6808E-07
8.6470E-08	2.1793E-07	1.1648E-06	-6.5109E-07
8.2496E-08	2.5712E-07	3.3941E-07	-1.4634E-07
1.6433E-07	2.4590E-07	-2.5582E-07	-1.1314E-07
2.5526E-07	1.9116E-07	2.0065E-07	1.6613E-06
3.3362E-07	7.2022E-08	1.6354E-06	1.4664E-07
2.0940E-07	-7.0806E-08	2.1388E-07	2.0489E-07
1.4748E-07	-1.5519E-07	8.2657E-07	1.9265E-07
-1.6759E-08	-1.8843E-07	-9.9424E-08	6.2737E-07
-8.8563E-08	-4.1445E-08	1.2037E-06	9.5647E-07
-1.4199E-07	6.6668E-08	8.0257E-07	2.5948E-07
-5.1835E-09	1.6868E-07	1.0681E-06	2.1089E-07
7.5155E-08	1.5631E-07	2.3468E-07	-8.6925E-08
1.5663E-07	1.1179E-07	8.5475E-08	6.2321E-07
1.3476E-07	6.5038E-09	3.1645E-07	1.4695E-06
1.1026E-07	-4.3766E-08	1.7824E-06	1.0432E-06
2.9058E-09	-1.2889E-07	1.0698E-06	2.7277E-07
-1.5494E-07	-1.2512E-07	1.3490E-06	3.9745E-07
-2.2446E-07	4.7667E-08	8.5565E-07	4.4226E-07
-1.2446E-07	1.1422E-07	2.0855E-06	1.8703E-07
-4.2684E-08	2.1238E-07	4.5249E-07	-1.1469E-06
1.1959E-07	2.1350E-07	2.1324E-07	4.9864E-07
2.0482E-07	1.5072E-07	4.5096E-07	2.1308E-07
2.0921E-07	9.2180E-09	8.4954E-07	8.4848E-07
1.3733E-07	-1.0899E-07	9.5525E-07	-1.3097E-07
2.1246E-08	-1.6187E-07	4.0331E-07	4.3179E-07
-1.1599E-07	-1.1587E-07	6.9697E-07	2.2115E-07
-1.4908E-07	2.3573E-08	7.8603E-08	5.7633E-07
-1.6223E-07	1.3714E-07	6.6189E-07	1.5341E-06
-1.0489E-07	1.5345E-07	2.0752E-06	9.5573E-07
-6.6267E-09	1.2283E-07	1.3669E-06	-4.7665E-07
8.9717E-08	1.6295E-07	6.3409E-07	2.3990E-07
5.6059E-08	8.9139E-08	9.6217E-07	1.3555E-07
7.3420E-08	6.3103E-08	5.3066E-07	3.5016E-07
4.3314E-08	2.2321E-09	1.1068E-06	4.9665E-07
