jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.3558E-06	-5.2150E-07	-9.2410E-08	4.8955E-07
8.5162E-07	-3.1129E-07	9.7052E-07	6.6053E-07
3.8297E-07	-3.4777E-07	1.2165E-06	6.0592E-08
3.5740E-07	-4.4772E-07	1.2769E-06	-5.5753E-07
-1.0160E-07	-4.7497E-07	3.2295E-08	-8.4066E-07
-2.6428E-07	-3.3466E-07	-9.8204E-09	7.9837E-07
-4.4439E-07	-1.4886E-07	1.3930E-06	2.4479E-07
-2.1912E-07	-2.3337E-09	6.8926E-08	-2.4781E-07
-1.0587E-07	1.6747E-08	7.6305E-07	1.3829E-06
1.1161E-07	-1.0121E-07	1.7058E-06	-3.5084E-08
1.4077E-07	-1.3668E-07	4.7549E-07	1.1895E-07
1.8006E-07	-2.4395E-07	9.8571E-07	6.9617E-07
-3.3821E-08	-2.4932E-07	1.2757E-06	6.5013E-07
-6.4204E-08	-2.5696E-07	1.4764E-06	1.9746E-07
-2.8072E-07	-1.9767E-07	1.0996E-06	4.1696E-07
-2.8253E-07	-4.8177E-08	1.6580E-06	1.9445E-07
-1.9142E-07	-1.3546E-08	9.0948E-07	-8.3308E-08
-5.4072E-08	7.3355E-09	1.0003E-06	6.0125E-07
1.3837E-08	2.3349E-08	1.3403E-06	5.5059E-07
3.7238E-08	-1.6797E-07	1.2899E-06	3.4561E-07
-7.8310E-08	-2.2120E-07	1.1560E-06	8.6241E-07
-1.6855E-07	-1.9722E-07	1.9906E-06	5.8378E-07
-2.5398E-07	-6.7909E-08	1.1044E-06	3.4615E-07
-2.2109E-07	4.3433E-08	1.9336E-06	1.4626E-06
-1.5726E-07	1.2996E-07	2.6680E-06	2.7059E-07
-1.7945E-08	1.2203E-07	2.1306E-06	2.1266E-07
9.0148E-08	2.4250E-08	2.6023E-06	-9.2821E-08
7.1827E-08	-5.0564E-08	2.0247E-06	-7.1069E-07
-2.7317E-08	-6.9655E-08	1.6393E-06	-3.5097E-07
-9.8744E-08	-2.2945E-08	1.7152E-06	-3.1372E-07
-2.3002E-07	-3.3114E-08	1.6853E-06	-1.5321E-07
-2.3797E-07	7.9304E-08	2.1407E-06	-4.4101E-07
-2.9100E-07	1.5729E-07	1.5909E-06	-1.1879E-06
-1.0026E-07	2.7999E-07	7.7532E-07	-9.8743E-07
-4.5328E-08	2.5092E-07	4.5945E-08	-3.6941E-07
1.4615E-08	2.1856E-07	4.7579E-07	1.1393E-06
1.2489E-08	1.3393E-07	1.8371E-06	5.8900E-07
3.9970E-08	7.5637E-08	9.6091E-07	3.5729E-07
2.3014E-08	1.1144E-07	2.0357E-06	1.2999E-06
1.6258E-08	1.3015E-07	2.5663E-06	-2.7528E-07
1.3549E-08	1.9089E-07	1.5062E-06	-3.1948E-07
3.4392E-08	2.0418E-07	1.5260E-06	-2.5034E-09
1.2095E-07	1.3572E-07	1.7614E-06	1.5941E-07
1.7453E-07	6.2699E-08	1.7018E-06	-6.0446E-07
7.9551E-08	3.0995E-08	6.5763E-07	2.3631E-07
7.7559E-08	1.2453E-08	2.2281E-06	8.0709E-07
-2.7475E-08	5.9647E-08	2.0467E-06	-8.9780E-07
-2.4298E-08	6.5391E-08	6.3228E-07	-4.3012E-07
-1.6187E-09	7.4580E-08	8.9091E-07	6.9075E-07
3.4537E-08	1.2152E-07	1.6918E-06	5.4032E-07
1.8811E-08	1.1122E-07	1.2399E-06	3.5594E-07
1.3508E-07	6.4325E-08	1.8106E-06	1.1340E-06
1.7827E-08	2.5742E-08	2.4571E-06	2.5344E-07
2.4968E-08	1.4919E-08	2.0055E-06	6.5029E-08
-4.4792E-08	-6.1468E-09	1.9942E-06	-2.3684E-07
-1.0326E-07	6.6983E-08	1.3360E-06	1.7444E-07
-1.1127E-07	5.8854E-08	2.2894E-06	4.4413E-07
-6.2683E-08	1.6622E-07	1.7108E-06	-5.0843E-07
-3.4535E-08	1.6925E-07	1.4388E-06	7.3771E-07
2.9145E-08	1.5340E-07	2.6698E-06	2.2847E-07
3.5969E-08	1.2101E-07	1.9546E-06	-3.1050E-07
4.5999E-08	1.3571E-07	2.2585E-06	-5.8571E-08
5.6693E-08	9.0727E-08	1.9315E-06	-7.2566E-07
-2.7240E-10	5.7692E-08	1.5342E-06	-3.8230E-07
-6.0420E-08	-5.2174E-09	1.1615E-06	-3.9241E-07
-1.0641E-07	5.3282E-08	1.1895E-06	8.6505E-07
-1.2197E-07	5.1542E-08	2.6828E-06	4.1973E-07
-9.6061E-08	9.1234E-08	2.0890E-06	-4.4771E-07
-1.1843E-07	1.0564E-07	2.0290E-06	-3.0635E-07
-9.3824E-08	1.1839E-07	1.5885E-06	-4.3444E-07
-7.7924E-08	1.3444E-07	1.8867E-06	1.2193E-07
-7.4861E-08	1.6438E-07	2.1964E-06	-5.3129E-07
-8.1788E-08	2.0010E-07	1.7120E-06	-7.3116E-07
-4.2415E-08	2.3860E-07	1.4193E-06	-7.5610E-07
-1.9787E-08	1.9869E-07	9.5601E-07	-4.6348E-07
5.4202E-08	2.0279E-07	1.1961E-06	9.9094E-08
1.2406E-08	1.4262E-07	1.4441E-06	-3.1891E-07
7.1490E-09	1.1101E-07	7.7060E-07	-1.1608E-07
-2.5793E-08	1.1777E-07	9.5856E-07	5.1578E-07
-6.2463E-08	1.1396E-07	1.4723E-06	9.4532E-07
-5.6472E-08	1.5486E-07	2.2380E-06	1.6643E-07
-2.0486E-08	1.2780E-07	1.2643E-06	1.5134E-07
-8.9481E-08	1.7685E-07	2.3036E-06	3.1789E-07
-5.4956E-08	1.8708E-07	1.0675E-06	-4.9202E-07
-1.7510E-08	2.3685E-07	1.7490E-06	1.0589E-06
4.5358E-08	2.2902E-07	2.0453E-06	-5.3395E-07
8.3683E-08	1.5858E-07	1.0955E-06	3.4547E-07
6.2189E-08	9.4579E-08	1.7993E-06	3.6166E-07
3.5682E-08	7.3210E-08	1.8880E-06	1.6506E-07
