jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.6537E-06	-9.3497E-07	-2.9104E-06	4.0724E-07
3.6797E-06	-7.0495E-07	-2.6862E-06	7.6983E-07
2.0490E-06	-1.3533E-06	-1.9952E-06	2.3765E-07
1.2577E-06	-1.8981E-06	-2.5184E-06	8.0085E-07
-4.5516E-07	-1.9391E-06	-1.2958E-06	9.1462E-07
-1.3026E-06	-1.3941E-06	-1.5470E-06	3.1413E-07
-1.9125E-06	-4.3731E-07	-1.3960E-06	4.6536E-07
-1.4912E-06	2.9128E-07	-1.8041E-06	4.7756E-07
-1.0253E-06	6.9878E-07	-8.7382E-07	1.2179E-06
-1.8129E-08	5.5431E-07	-8.3147E-07	-4.1765E-07
3.1278E-07	3.3087E-07	-2.1308E-06	8.8133E-07
5.2068E-07	1.7234E-07	-3.6030E-07	1.0548E-06
2.4874E-07	-1.5893E-07	-7.8536E-07	1.9705E-07
2.1587E-09	-2.8209E-07	-8.5790E-07	-9.7817E-08
-4.1431E-07	-2.4443E-07	-2.1988E-06	6.5128E-07
-4.9275E-07	-1.6854E-07	-3.0800E-07	1.8940E-06
-5.8494E-07	-1.7017E-07	-8.8831E-08	1.7838E-07
-4.6551E-07	-8.8037E-08	-5.4471E-07	4.3858E-07
-5.2230E-07	3.3523E-08	-7.3040E-07	2.9347E-07
-4.4240E-07	-8.0056E-08	-2.9396E-07	7.6022E-07
-6.6757E-07	1.6686E-08	-3.1145E-07	-3.3008E-07
-6.8353E-07	1.8289E-07	-1.4305E-06	2.2934E-07
-8.0217E-07	4.0405E-07	-8.8162E-07	1.2010E-06
-5.7506E-07	6.7588E-07	6.2663E-08	8.5681E-07
-4.0129E-07	7.4625E-07	-2.8355E-07	1.9070E-07
-1.5626E-08	6.0233E-07	-3.1655E-07	5.1051E-07
1.6522E-07	2.6644E-07	-2.8403E-07	-7.5456E-09
2.0813E-07	7.0123E-08	-1.0173E-06	2.8766E-07
-2.8666E-08	2.7366E-08	-5.9651E-07	9.4338E-07
-1.9613E-07	3.9191E-09	-3.3978E-07	6.6233E-07
-4.6028E-07	1.1870E-07	-1.6146E-07	8.7271E-07
-5.4590E-07	3.6884E-07	-1.1323E-07	1.8905E-07
-5.5602E-07	6.2701E-07	-6.1197E-07	8.9438E-07
-3.1667E-07	8.3407E-07	1.1550E-07	4.0285E-07
-7.4983E-08	8.0166E-07	-9.4798E-07	1.0831E-06
1.8947E-07	6.7146E-07	1.0501E-06	1.2698E-06
2.0083E-07	4.2668E-07	-1.6776E-07	-1.6748E-07
2.8343E-07	2.4110E-07	8.3675E-08	1.2684E-06
1.5237E-07	2.4462E-07	5.5345E-07	4.5000E-07
1.2134E-07	3.0866E-07	6.8005E-07	6.1255E-07
8.2222E-08	3.9693E-07	5.4131E-07	-2.4016E-07
2.4343E-07	3.7660E-07	1.2100E-07	2.7511E-07
3.1194E-07	1.8854E-07	5.9764E-07	4.4652E-08
3.8675E-07	2.5899E-08	3.3414E-07	-4.9991E-07
2.2498E-07	-1.2885E-07	-5.7511E-07	-3.8546E-07
8.9195E-08	-1.8977E-07	-2.7010E-07	6.3708E-07
-4.8787E-08	-1.3307E-07	4.9099E-07	-4.5832E-08
-1.4908E-07	-4.8439E-08	-6.5674E-07	-6.0366E-07
-2.0818E-07	1.4722E-07	-9.0386E-07	1.1066E-06
-9.3918E-08	2.9736E-07	8.0831E-07	3.7551E-07
3.7505E-08	3.1853E-07	-1.0519E-06	-1.0591E-07
1.5249E-07	2.1935E-07	1.0638E-07	1.7493E-06
1.2547E-07	8.7023E-08	7.5209E-07	1.6475E-07
8.5586E-08	-6.2574E-08	1.0383E-07	6.4079E-07
-6.2549E-08	-1.1114E-07	9.4256E-07	3.0855E-07
-2.2970E-07	-7.5754E-08	1.4298E-07	-6.1926E-07
-3.3309E-07	9.5287E-08	-7.1142E-07	7.3440E-07
-3.0265E-07	2.4121E-07	1.1711E-06	8.6178E-07
-1.4753E-07	3.6937E-07	3.8480E-07	-5.2412E-07
6.8077E-08	4.1120E-07	3.3600E-07	9.9340E-08
1.8230E-07	2.8615E-07	-1.4633E-07	-4.6074E-07
2.3957E-07	9.7088E-08	-1.0369E-07	4.4057E-07
1.2744E-07	-3.7749E-08	5.9293E-08	-8.6592E-08
-2.2950E-09	-8.4844E-08	-7.0659E-08	2.0801E-07
-1.2113E-07	-3.0826E-08	-3.3362E-07	-1.2001E-08
