jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.4477E-06	7.8384E-07	-2.4815E-06	3.0315E-07
5.4597E-06	-3.8043E-07	-2.5523E-06	1.1640E-06
3.6856E-06	-2.0970E-06	-1.3751E-06	1.6734E-06
2.2119E-06	-2.8992E-06	-1.0039E-06	1.2029E-06
-1.1746E-07	-2.9443E-06	-5.7287E-07	5.0608E-07
-1.5224E-06	-2.0099E-06	-2.7584E-06	-4.2332E-07
-2.3080E-06	-6.4723E-07	-2.6785E-06	1.7390E-06
-1.6560E-06	5.6777E-07	-2.5583E-06	3.4389E-07
-7.2801E-07	1.1573E-06	-1.1262E-06	1.8667E-06
4.7486E-07	1.1159E-06	-1.5922E-06	9.1892E-08
1.1400E-06	5.2006E-07	-1.7148E-06	2.1344E-06
1.4092E-06	-1.4731E-07	-1.4935E-06	8.3247E-07
9.6485E-07	-7.4011E-07	-1.3572E-06	2.4674E-06
4.9616E-07	-1.0257E-06	1.4052E-06	8.8792E-07
-1.1993E-07	-9.3354E-07	-6.2829E-07	7.0264E-07
-3.9509E-07	-6.9074E-07	-1.5445E-06	1.2939E-06
-5.3861E-07	-4.1156E-07	-4.9517E-07	3.1607E-06
-4.1881E-07	-2.7754E-07	-2.0845E-06	2.4753E-06
-4.2606E-07	-2.1317E-07	-3.0439E-07	2.3043E-06
-4.7113E-07	-1.4090E-07	-2.3940E-06	2.7035E-06
-6.3074E-07	-9.6046E-08	6.1468E-08	2.2114E-06
-6.7032E-07	2.3582E-08	1.1172E-06	3.8369E-07
-7.3278E-07	3.1190E-07	-5.1144E-07	2.3382E-06
-4.2557E-07	4.9568E-07	-8.8191E-08	1.8109E-06
-1.3453E-07	4.9560E-07	5.0599E-07	-1.5774E-07
1.6329E-07	3.2965E-07	-1.1189E-06	-1.2385E-06
