jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
6.0219E-07	-3.3101E-07	1.7982E-07	-7.3608E-07
3.7050E-07	-5.7867E-07	-1.1009E-06	-1.1206E-06
2.5149E-07	-6.1337E-07	-1.1009E-06	1.1749E-06
1.2581E-07	-6.4880E-07	9.6083E-07	3.7280E-07
-2.5933E-07	-6.0997E-07	-7.9049E-08	-7.4660E-07
-3.6499E-07	-4.3559E-07	-1.0049E-06	2.1182E-07
-4.5725E-07	-1.7552E-07	4.8355E-07	1.3772E-06
-2.9781E-07	-5.1169E-09	8.6745E-07	-7.3887E-07
-1.5363E-07	1.1821E-07	-5.9628E-07	3.9570E-07
-8.3354E-10	1.1651E-07	9.3675E-07	2.7870E-07
8.5300E-08	-3.3598E-08	2.3372E-07	-2.3619E-07
9.1411E-08	-1.9178E-07	2.2751E-07	-4.2669E-07
-4.8584E-08	-2.9588E-07	-5.8817E-07	6.5792E-07
-1.3517E-07	-2.1936E-07	1.6609E-06	6.7977E-07
-2.4599E-07	-1.6165E-07	6.7110E-07	-1.0703E-06
-2.5534E-07	-1.6404E-08	5.6090E-07	-3.5763E-07
-2.0778E-07	2.8156E-08	1.7247E-07	-1.1868E-06
-9.5017E-08	8.9111E-08	-1.3961E-07	-3.4607E-07
-3.9146E-08	1.3133E-08	1.7021E-07	-1.2795E-06
-1.4141E-08	-6.7661E-09	-1.7416E-06	-8.7151E-07
-9.0389E-08	-1.1287E-07	-9.7366E-07	1.1644E-06
-1.7546E-07	-1.0346E-07	2.3218E-07	4.1007E-07
-2.5152E-07	-3.2002E-08	-1.2385E-07	3.5271E-07
-2.0604E-07	6.8257E-08	2.3933E-07	1.2867E-07
-1.6855E-07	1.8158E-07	-7.4040E-08	2.6142E-07
-6.6181E-08	2.0164E-07	4.1075E-07	-5.9411E-08
5.2029E-08	1.3091E-07	-3.5578E-07	-1.5972E-08
5.6081E-08	3.8126E-08	2.3693E-07	1.8225E-07
1.7369E-08	-2.3677E-08	-3.7426E-07	1.8177E-07
-5.0602E-09	-8.3416E-08	8.3714E-07	4.2517E-07
-1.2339E-07	-6.1211E-08	-2.8624E-07	-1.0235E-06
-2.5063E-07	1.0430E-08	-7.1566E-07	8.2259E-07
-2.1406E-07	1.4640E-07	5.8166E-07	3.3557E-07
-1.4423E-07	1.6170E-07	4.1907E-08	-3.4094E-07
-7.9527E-08	2.5463E-07	-7.6503E-07	2.8890E-07
-2.7400E-10	2.0859E-07	6.9358E-07	9.8671E-07
9.4472E-08	1.4998E-07	1.3454E-07	-1.0209E-06
1.3012E-07	1.5399E-07	-1.0069E-06	7.6080E-07
1.2249E-07	9.0783E-08	2.7836E-07	5.0170E-07
1.3020E-07	9.3121E-09	-1.2469E-07	7.9851E-07
1.4872E-07	3.1365E-08	6.3975E-07	1.7290E-07
1.0783E-07	3.3581E-08	-3.3874E-07	4.2473E-07
1.6273E-07	1.6223E-08	4.0156E-07	4.0663E-07
1.4553E-07	-1.1896E-08	-4.9845E-07	8.2537E-07
1.2161E-07	-3.5958E-08	1.1976E-06	1.4402E-06
8.9865E-08	-4.9342E-08	1.3777E-06	-5.1985E-08
8.7052E-08	-1.4614E-08	7.4767E-07	-6.5250E-07
6.1640E-08	-3.7432E-08	-3.5752E-08	-3.4020E-08
4.3633E-08	-2.4006E-08	8.3427E-07	-6.2817E-07
1.6190E-08	2.2894E-08	-1.4052E-06	-4.7808E-07
1.3291E-07	3.9298E-09	3.6670E-07	1.1468E-06
1.1134E-07	-1.9195E-08	-6.7987E-07	-4.7159E-07
9.6159E-08	-7.0331E-08	-2.0413E-08	2.1642E-06
