jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
4.2942E-06	2.2087E-07	-1.3699E-06	1.3774E-06
6.2533E-06	-1.3833E-06	-1.0100E-06	1.1943E-06
4.1530E-06	-3.0878E-06	-1.2138E-06	4.2100E-07
2.3277E-06	-3.9653E-06	-1.7099E-06	1.5510E-06
-3.9786E-07	-3.9154E-06	-4.1307E-07	9.9011E-07
-2.0983E-06	-2.6466E-06	-1.6156E-06	1.0514E-06
-3.0478E-06	-9.5510E-07	-3.7878E-07	1.2497E-06
-2.2940E-06	4.8788E-07	-1.9163E-06	9.1912E-07
-1.1056E-06	1.2107E-06	-1.2875E-07	2.7123E-06
2.8757E-07	1.1322E-06	1.1584E-07	1.0245E-07
1.0044E-06	5.4419E-07	-1.4411E-06	1.2086E-06
1.4463E-06	-1.6192E-07	-4.0293E-07	1.6149E-06
1.0683E-06	-8.7210E-07	-1.1804E-07	9.9526E-07
5.7121E-07	-1.2450E-06	-1.0060E-06	6.5951E-07
-1.8279E-07	-1.2556E-06	-7.5110E-07	1.7199E-06
-6.0191E-07	-1.0121E-06	-4.9919E-07	8.6583E-07
-9.0725E-07	-7.0596E-07	-1.2502E-06	1.6000E-06
-7.8845E-07	-4.0023E-07	-4.9850E-07	1.9206E-06
-8.0200E-07	-1.4794E-07	-5.1427E-07	1.7958E-06
-7.8163E-07	-4.2871E-08	-2.5014E-07	2.3744E-06
-8.2824E-07	1.4742E-07	1.0428E-06	1.8359E-06
-7.5620E-07	3.2247E-07	-3.2166E-08	7.2503E-07
-6.9609E-07	5.5257E-07	3.0536E-07	1.9646E-06
-4.4433E-07	6.4819E-07	7.3019E-07	3.1989E-07
-1.9509E-07	6.2915E-07	-6.7771E-07	7.9349E-07
