jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.1786E-06	4.0505E-08	1.6190E-06	-4.7911E-07
3.2614E-06	-9.1294E-07	-1.0803E-06	-1.2186E-06
2.1593E-06	-1.7279E-06	-1.4826E-06	1.6899E-06
1.1682E-06	-2.1464E-06	1.0200E-06	1.9445E-06
-3.5472E-07	-2.0016E-06	1.1984E-06	-1.3024E-07
-1.0886E-06	-1.3631E-06	-9.6092E-07	1.1025E-07
-1.4957E-06	-5.2370E-07	-4.4577E-08	2.4499E-06
-1.0648E-06	1.9009E-07	1.9470E-06	1.2302E-06
-5.7151E-07	4.8134E-07	1.1140E-06	9.9153E-09
1.5793E-07	4.7361E-07	6.1117E-07	8.2233E-08
4.9920E-07	5.4038E-08	-4.5308E-08	5.8797E-08
6.1301E-07	-2.6491E-07	-4.9278E-07	1.2210E-06
3.5834E-07	-5.3806E-07	8.0714E-07	1.9331E-06
4.3962E-08	-6.8073E-07	1.5177E-06	8.7864E-07
-2.2335E-07	-5.6268E-07	8.2058E-07	4.0447E-07
-4.0045E-07	-4.0908E-07	6.7316E-07	8.3348E-07
-4.7613E-07	-1.9631E-07	8.3613E-07	8.0576E-07
-3.2322E-07	-1.3380E-07	9.1865E-07	7.6673E-07
-3.2270E-07	-1.5275E-07	4.0316E-07	7.1524E-07
-3.6360E-07	-1.1688E-07	1.2068E-06	2.0752E-06
-4.5075E-07	-8.2706E-08	2.6327E-06	-9.5738E-08
-5.1146E-07	2.4199E-08	3.2850E-08	-4.5014E-07
-5.2929E-07	1.6705E-07	4.9161E-07	1.0174E-06
