jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1.9906E-06	1.7619E-07	2.7793E-06	5.9722E-07
7.0483E-07	-9.7039E-08	1.1369E-06	-2.1530E-07
5.7459E-07	-2.9847E-07	1.5919E-06	1.8829E-06
3.4102E-07	-4.4357E-07	3.2949E-06	1.1038E-07
6.4214E-08	-4.7854E-07	1.4581E-06	-7.1192E-07
-1.7205E-07	-3.5244E-07	9.5814E-07	1.8409E-07
-3.3284E-07	-1.3861E-07	1.1549E-06	1.1517E-06
-2.5524E-07	-5.5486E-08	2.5889E-06	7.2811E-07
-1.0984E-07	5.2801E-08	1.3617E-06	-4.6297E-07
4.0095E-09	4.1112E-08	9.7155E-07	1.4235E-06
8.6432E-08	-7.7726E-08	2.8889E-06	1.1442E-06
1.4130E-07	-1.6223E-07	2.5134E-06	-1.0000E-07
1.3864E-08	-2.0849E-07	2.3572E-06	1.0389E-08
-6.9243E-08	-2.6696E-07	2.3206E-06	-9.4218E-07
-1.4426E-07	-1.7110E-07	5.0882E-07	-7.7872E-07
-1.9370E-07	-1.4905E-07	1.5296E-06	1.2849E-06
-1.4595E-07	-5.7514E-08	2.7146E-06	-1.4378E-06
-1.1772E-07	-5.9248E-08	-1.1314E-06	-7.8091E-07
-9.5867E-08	-1.0563E-08	8.3161E-07	2.1460E-06
-9.4379E-08	-7.6356E-08	1.5648E-06	8.2924E-07
-1.3341E-07	-4.7797E-08	2.0416E-06	1.2245E-06
-1.8246E-07	-2.3331E-08	1.7866E-06	1.7071E-07
-1.7614E-07	1.5002E-08	2.1103E-06	1.0355E-06
-1.6618E-07	3.4995E-08	2.1774E-06	-7.5614E-07
-1.0253E-07	5.8319E-08	3.7649E-07	2.0048E-07
-3.1587E-08	7.5373E-08	1.0490E-06	1.4485E-06
-1.8229E-08	-8.0191E-10	2.4635E-06	1.6365E-06
-1.9222E-09	-1.0581E-07	2.5612E-06	1.0697E-07
-9.6178E-08	-5.7727E-08	2.1880E-06	5.7610E-07
-1.5320E-07	-3.0255E-08	2.1821E-06	-4.2921E-07
-2.2495E-07	-5.1497E-09	1.5817E-06	7.0674E-07
-2.0061E-07	1.1355E-07	2.6880E-06	-5.0313E-07
-1.5251E-07	1.2862E-07	5.8041E-07	-2.8035E-07
-2.8376E-08	1.8130E-07	1.7320E-06	1.0562E-06
5.1855E-09	1.4445E-07	2.0514E-06	-2.9556E-08
7.9531E-08	1.0590E-07	8.8605E-07	1.6252E-07
1.3679E-07	6.4650E-08	1.8998E-06	1.8124E-06
1.2627E-07	-1.6431E-08	3.1306E-06	-3.9388E-07
4.2094E-08	-2.4727E-09	6.9592E-07	-1.0553E-07
-5.4750E-08	2.3857E-08	1.7675E-06	1.3842E-06
3.6267E-09	3.9805E-08	2.8530E-06	1.2208E-06
3.9685E-08	1.0495E-07	3.7183E-06	-8.1340E-07
9.7053E-08	6.6063E-08	9.0339E-07	-1.3687E-06
1.6116E-07	4.8942E-09	1.0714E-06	8.9039E-07
1.1903E-07	-5.3868E-08	2.6114E-06	9.2884E-07
1.0266E-07	-9.1503E-08	3.1406E-06	-9.2280E-07
6.2357E-08	-1.1346E-07	1.0865E-06	-1.0425E-06
-3.1816E-08	-1.4901E-07	1.6492E-06	-3.8136E-07
-1.8410E-08	-8.9795E-08	3.0944E-07	-6.2054E-07
-3.5371E-08	-4.5234E-08	9.3217E-07	1.2128E-06
-3.9215E-08	3.7200E-08	1.6232E-06	6.0112E-07
2.6025E-10	2.3853E-09	1.8800E-06	1.1259E-06
3.5736E-08	1.3864E-08	2.9985E-06	1.9176E-07
2.5918E-08	-5.3790E-08	1.6020E-06	-1.2598E-06
7.1222E-09	-3.2367E-08	3.5400E-07	1.0230E-06
-6.6900E-09	-1.1965E-07	3.3502E-06	9.4341E-07
-7.9204E-08	-1.4382E-07	1.6986E-06	-1.3844E-06
-1.2099E-07	-5.7565E-08	8.4856E-07	3.7240E-07
-5.8086E-08	-4.9084E-08	1.2381E-06	9.4289E-07
-8.7232E-09	-1.3630E-08	3.1475E-06	1.5840E-06
-3.2389E-08	-3.0438E-08	3.5175E-06	-1.3211E-06
-1.3619E-08	7.4984E-09	1.4906E-06	-1.1264E-06
2.4042E-08	-1.0665E-07	1.4836E-06	-9.1140E-07
2.9076E-08	-7.4469E-08	7.9094E-07	-3.7889E-07
-1.9030E-08	-3.0046E-08	1.2587E-06	-1.3337E-08
-6.5150E-08	-7.4878E-08	1.1321E-06	7.9854E-08
-9.0908E-08	6.6956E-09	1.4755E-06	1.7351E-07
-9.4702E-08	-5.3091E-08	1.4618E-06	2.6571E-07
-6.5340E-08	1.8488E-08	2.2884E-06	-3.0529E-07
-5.7346E-08	1.7333E-09	4.1202E-07	-1.4748E-06
-5.8298E-08	9.3829E-08	-2.9098E-07	1.5785E-06
-2.2581E-08	8.1988E-08	2.9233E-06	1.2509E-06
6.4064E-09	7.1663E-08	1.7408E-06	-1.0802E-06
2.1155E-08	5.1279E-08	6.5366E-07	2.9240E-07
4.4430E-08	8.0718E-08	1.6638E-06	2.4522E-07
7.2283E-08	5.0772E-08	6.4860E-07	-5.4685E-08
7.4621E-08	1.6667E-08	1.3490E-06	1.4260E-06
4.1338E-08	-6.7421E-08	2.2741E-06	-8.4337E-08
3.2345E-08	-4.6693E-08	9.6212E-07	1.2490E-07
-2.0569E-08	-2.2587E-08	1.5463E-06	3.7855E-07
-3.1039E-08	-8.7829E-09	1.2950E-06	5.2331E-07
-8.2328E-08	2.8554E-09	1.8921E-06	-3.2134E-08
-4.6014E-08	9.6301E-08	4.7318E-07	2.3736E-07
1.3689E-08	9.3493E-08	1.9254E-06	9.7970E-07
7.9912E-08	1.1955E-07	8.0402E-07	-4.5014E-07
1.6145E-07	9.2263E-08	3.7651E-07	2.0216E-06
1.1564E-07	1.3568E-09	2.9063E-06	1.8184E-06
9.2774E-08	-1.0894E-08	2.8348E-06	-3.0580E-08
5.5896E-08	-7.0221E-08	1.8007E-06	-2.4042E-07
6.8013E-09	-6.9679E-08	1.4045E-06	1.3270E-07
-3.8324E-08	-1.3867E-08	1.6812E-06	7.1190E-07
3.4184E-08	1.4875E-08	2.0801E-06	-6.2109E-08
1.1855E-08	-6.3745E-09	1.0663E-06	1.8809E-07
-1.3107E-08	7.3953E-09	1.4230E-06	6.9364E-07
1.6024E-08	5.6934E-08	1.6869E-06	1.5007E-06
9.9361E-08	-9.5707E-09	3.7451E-06	1.6532E-07
4.5687E-08	-4.3420E-08	8.8082E-07	-1.6182E-06
4.5795E-08	-7.4456E-08	4.3240E-07	1.6173E-06
7.5028E-09	-6.6304E-08	2.9313E-06	1.3788E-06
-3.8046E-08	-8.2381E-08	2.8273E-06	-4.6035E-07
1.2301E-08	-3.8685E-08	1.5848E-06	-1.3965E-07
-2.7597E-08	1.0933E-08	2.4069E-06	-3.0051E-07
-2.5552E-08	-1.3477E-08	6.2924E-07	-6.1836E-07
-1.3101E-09	-2.0039E-08	1.6982E-06	1.3102E-06
-2.2060E-08	1.2860E-08	2.2854E-06	-2.6966E-07
-3.7440E-08	-4.5492E-08	1.6725E-06	2.4255E-07
-5.4813E-08	-1.6934E-08	2.3564E-06	-2.3193E-07
-2.8819E-08	-1.3643E-08	1.5429E-06	-1.1692E-06
-9.7543E-09	1.6926E-08	-6.1100E-12	-8.0674E-08
-3.3974E-08	-1.1256E-08	1.6101E-06	1.3078E-06
-2.3772E-08	4.7507E-08	1.9576E-06	-2.6471E-07
2.6269E-08	2.8138E-08	9.7304E-07	-1.2075E-07
2.2081E-08	2.0212E-08	6.7486E-07	9.7189E-07
-1.3341E-08	-1.0836E-08	2.6121E-06	1.2107E-06
4.0320E-08	-3.4513E-08	1.9267E-06	-5.4139E-07
-1.6303E-08	8.2314E-10	1.9380E-06	7.5608E-08
-6.3682E-08	1.7840E-08	6.4342E-07	-1.2194E-06
-1.6793E-08	5.9319E-08	7.9536E-08	1.6682E-06
-1.0116E-08	3.4772E-08	2.1951E-06	8.8379E-07
3.6419E-08	2.8570E-08	1.3206E-06	7.3588E-07
-9.7883E-09	5.6303E-08	2.0803E-06	9.8131E-07
8.7695E-08	3.2442E-08	2.3274E-06	2.9952E-07
6.2263E-08	1.9181E-08	1.4068E-06	-4.0589E-08
4.8419E-08	3.0270E-09	1.9684E-06	9.7968E-07
1.1617E-08	-1.0343E-08	1.6507E-06	-4.2718E-07
2.5258E-08	-4.1197E-08	1.2681E-06	1.7745E-06
1.9260E-08	-5.1618E-08	3.5875E-06	2.0916E-08
-4.4738E-09	-5.1859E-08	1.1851E-06	-5.9036E-07
-3.4717E-08	-3.1133E-08	1.5871E-06	4.3475E-07
-1.2695E-08	4.8798E-08	1.4544E-06	1.1109E-06
-3.3956E-08	2.5605E-08	3.7242E-06	5.8497E-07
7.6754E-09	5.7547E-08	1.7620E-06	-1.7692E-06
5.8045E-08	8.4563E-08	7.0964E-07	7.5800E-07
5.0838E-08	4.7853E-08	2.8370E-06	5.9382E-07
8.8160E-08	8.1097E-09	2.3168E-06	-9.1620E-07
3.8965E-08	-2.7486E-08	1.4921E-06	-7.0471E-07
5.9938E-08	-3.9837E-08	1.0514E-06	-7.6228E-07
3.3038E-08	-3.2456E-08	3.2144E-07	3.7336E-07
-2.4858E-09	-8.1973E-08	1.6972E-06	1.1493E-06
2.8789E-09	-1.9150E-08	2.3084E-06	2.2796E-07
3.1905E-08	-5.2168E-08	1.9763E-06	-7.4340E-07
2.5593E-08	-2.8323E-08	1.8243E-07	-2.4033E-07
2.7514E-08	-3.8189E-08	1.7767E-06	2.0364E-06
-3.6528E-08	-5.3023E-08	3.7933E-06	-6.9032E-07
-1.6880E-08	-3.5560E-08	8.9882E-07	-2.2107E-06
-1.4782E-08	-6.7224E-08	-4.8585E-07	-1.8184E-07
3.6765E-09	-2.6292E-08	4.1920E-07	1.2285E-06
-1.6295E-08	-5.1850E-08	1.4559E-06	1.1758E-06
-2.6018E-09	2.0047E-09	2.1907E-06	7.1990E-07
-4.7752E-08	-2.1815E-08	1.6882E-06	-8.5469E-07
-1.5709E-08	1.4428E-08	-1.7708E-07	3.6912E-07
2.7774E-08	5.1489E-09	1.3055E-06	1.5666E-06
5.3984E-08	-8.8207E-09	1.6709E-06	9.1157E-07
-1.4104E-08	1.3124E-08	1.8298E-06	4.3596E-07
-1.0581E-08	-2.2577E-08	4.7647E-07	7.4006E-07
-4.4647E-08	1.1485E-08	1.9067E-06	2.6336E-06
4.0417E-09	2.7871E-08	3.6428E-06	9.9513E-07
3.8121E-09	2.7624E-08	2.8541E-06	-4.0557E-07
-5.3533E-09	9.5341E-09	1.8299E-06	-3.7308E-07
-2.6918E-08	-1.2633E-08	1.4617E-06	3.0238E-08
4.6583E-08	-1.2122E-08	1.5703E-06	1.1575E-06
2.1001E-08	-1.3230E-08	3.5064E-06	3.2350E-07
2.6875E-08	8.9247E-09	1.8595E-06	-1.2572E-06
-6.8577E-10	2.1351E-08	1.5234E-06	-3.8529E-07
2.0047E-08	1.4763E-09	4.9911E-07	-4.4642E-07
-9.4936E-10	1.7974E-08	1.0761E-06	1.1899E-06
