jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
4.9279E-06	2.4795E-07	-3.3263E-06	2.3341E-06
8.1809E-06	-1.7039E-06	-1.9517E-06	2.8388E-06
5.4818E-06	-3.8345E-06	-1.6301E-06	1.1800E-06
3.1899E-06	-5.0413E-06	-2.5707E-06	2.0489E-06
-3.8285E-07	-4.9456E-06	-1.2343E-06	2.1622E-06
-2.7124E-06	-3.5048E-06	-1.4997E-06	1.2379E-06
-3.9064E-06	-1.1909E-06	-1.9269E-06	1.7613E-06
-2.9059E-06	6.3070E-07	-1.1590E-06	1.7578E-06
-1.4801E-06	1.5256E-06	-1.6166E-06	1.1688E-06
4.4223E-07	1.3630E-06	-1.7301E-06	1.6531E-06
1.4144E-06	6.3677E-07	-1.8113E-06	1.7439E-06
1.9061E-06	-3.2345E-07	-1.1955E-06	2.2535E-06
1.3567E-06	-1.0864E-06	-8.3063E-07	1.3759E-06
6.7853E-07	-1.5786E-06	-1.2960E-06	1.0452E-06
-3.5648E-07	-1.5835E-06	-2.2831E-06	9.6212E-07
-8.2353E-07	-1.2660E-06	-2.5297E-06	2.6860E-06
-1.2458E-06	-8.0979E-07	-8.3364E-07	2.7786E-06
-1.0705E-06	-4.0213E-07	-1.0685E-06	1.7643E-06
-1.0395E-06	-1.6633E-07	-1.3665E-06	2.4328E-06
-9.3033E-07	6.1020E-08	-5.1690E-07	2.3058E-06
-9.8684E-07	2.6337E-07	-5.9858E-07	1.7387E-06
-8.7692E-07	4.6832E-07	-1.0484E-06	1.2692E-06
-7.8914E-07	6.8502E-07	-1.9001E-06	2.3862E-06
-4.6692E-07	7.6012E-07	-7.1754E-08	2.6031E-06
